target_g,tercile,tercile_range,regime_set,row,group,n_records,n_valid,med_error,win_rate_vs_last,win_rate_vs_assumed,med_skill_vs_last,mi
0.5,T1,"[0.005, 0.0232)",holdout,richardson_3,top10,198,197,0.007939,0.843434,0.858586,0.238112,4.199696
0.5,T1,"[0.005, 0.0232)",holdout,richardson_2,top10,198,198,0.007528,0.858586,0.863636,0.273804,3.652285
0.5,T1,"[0.005, 0.0232)",holdout,double_exp_fit,top10,198,198,0.006981,0.979798,1.0,0.335858,2.977781
0.5,T1,"[0.005, 0.0232)",holdout,rational_fit,top10,198,198,0.006271,0.843434,0.863636,0.195552,5.114545
0.5,T1,"[0.005, 0.0232)",holdout,richardson_1,top10,198,198,0.011803,0.853535,0.863636,0.306134,3.266566
0.5,T1,"[0.005, 0.0232)",holdout,pade_23,top10,198,197,0.006514,0.909091,0.969697,0.264627,3.778899
0.5,T1,"[0.005, 0.0232)",holdout,pade_12,top10,198,198,0.007305,0.929293,1.0,0.231857,4.313019
0.5,T1,"[0.005, 0.0232)",holdout,pade_22,top10,198,193,0.00513,0.843434,0.853535,0.146913,6.806764
0.5,T1,"[0.005, 0.0232)",holdout,single_exp_fit,top10,198,198,0.012617,0.974747,1.0,0.552536,1.809836
0.5,T1,"[0.005, 0.0232)",holdout,anderson_1,classical_variant,198,198,0.039428,0.686869,0.939394,0.996221,1.003793
0.5,T1,"[0.005, 0.0232)",holdout,anderson_2,classical_variant,198,198,0.036247,0.550505,0.944444,0.998218,1.001785
0.5,T1,"[0.005, 0.0232)",holdout,anderson_3,classical_variant,198,198,0.033253,0.510101,0.954545,0.999661,1.000339
0.5,T1,"[0.005, 0.0232)",holdout,brezinski_theta1,classical_variant,198,198,0.021623,0.570707,0.89899,0.941213,1.062458
0.5,T1,"[0.005, 0.0232)",holdout,brezinski_theta2,classical_variant,198,197,0.034534,0.464646,0.762626,1.042541,0.959195
0.5,T1,"[0.005, 0.0232)",holdout,levin_t1,classical_variant,198,198,0.022085,0.641414,0.893939,0.98185,1.018487
0.5,T1,"[0.005, 0.0232)",holdout,levin_t2,classical_variant,198,198,0.031921,0.5,0.919192,0.999,1.001004
0.5,T1,"[0.005, 0.0232)",holdout,levin_u1,classical_variant,198,198,0.045911,0.419192,0.712121,1.037047,0.964279
0.5,T1,"[0.005, 0.0232)",holdout,levin_u2,classical_variant,198,198,0.027161,0.434343,0.853535,1.019396,0.980973
0.5,T1,"[0.005, 0.0232)",holdout,levin_v1,classical_variant,198,198,0.027221,0.328283,0.833333,1.054317,0.948481
0.5,T1,"[0.005, 0.0232)",holdout,levin_v2,classical_variant,198,198,0.038533,0.383838,0.838384,1.05953,0.943815
0.5,T1,"[0.005, 0.0232)",holdout,shanks_1,classical_variant,198,198,0.022085,0.641414,0.893939,0.98185,1.018487
0.5,T1,"[0.005, 0.0232)",holdout,shanks_2,classical_variant,198,198,0.024768,0.409091,0.883838,1.012339,0.987812
0.5,T1,"[0.005, 0.0232)",holdout,shanks_3,classical_variant,198,198,0.023527,0.469697,0.888889,1.007584,0.992473
0.5,T1,"[0.005, 0.0232)",holdout,shanks_4,classical_variant,198,198,0.026998,0.393939,0.853535,1.047872,0.954315
0.5,T1,"[0.005, 0.0232)",holdout,wynn_eps_1,classical_variant,198,198,0.022085,0.641414,0.893939,0.98185,1.018487
0.5,T1,"[0.005, 0.0232)",holdout,wynn_eps_2,classical_variant,198,198,0.023993,0.510101,0.934343,0.998664,1.001338
0.5,T1,"[0.005, 0.0232)",holdout,wynn_eps_3,classical_variant,198,198,0.025391,0.459596,0.868687,1.005232,0.994795
0.5,T1,"[0.005, 0.0232)",holdout,wynn_rho_1,classical_variant,198,198,0.0448,0.358586,0.707071,1.027077,0.973637
