regime,future_idx,method,family,method_type,true_val,curr_val,estimate,error,valid,catastrophic,beats_current,improve_ratio
single_exp,1000,richardson_3,richardson,trajectory,0.01,0.03049279,0.00255511,0.00744489,1,0,1,2.752597
single_exp,1000,richardson_a05,richardson,trajectory,0.01,0.03049279,-0.17576105,0.18576105,1,1,0,0.110318
single_exp,1000,richardson_a10,richardson,trajectory,0.01,0.03049279,-0.0701329,0.0801329,1,0,0,0.255735
single_exp,1000,richardson_a20,richardson,trajectory,0.01,0.03049279,0.0104748,0.0004748,1,0,1,43.160599
single_exp,1000,single_exp_fit,parametric,trajectory,0.01,0.03049279,0.01,0.0,1,0,1,1.0
single_exp,1000,double_exp_fit,parametric,trajectory,0.01,0.03049279,0.01,0.0,1,0,1,1.0
single_exp,1000,rational_fit,parametric,trajectory,0.01,0.03049279,0.00588067,0.00411933,1,0,1,4.974783
single_exp,1000,log_fit,parametric,trajectory,0.01,0.03049279,0.0575792,0.0475792,1,0,0,0.430709
single_exp,1000,shanks_1,shanks,limit,0.01,0.03049279,0.01,0.0,1,0,1,1.0
single_exp,1000,shanks_2,shanks,limit,0.01,0.03049279,0.00999953,4.7e-07,1,0,1,43300.953874
single_exp,1000,shanks_3,shanks,limit,0.01,0.03049279,0.00999829,1.71e-06,1,0,1,12010.269004
single_exp,1000,shanks_4,shanks,limit,0.01,0.03049279,0.00999992,8e-08,1,0,1,255138.520635
single_exp,1000,wynn_eps_1,wynn_eps,limit,0.01,0.03049279,0.01,0.0,1,0,1,1.0
single_exp,1000,wynn_eps_2,wynn_eps,limit,0.01,0.03049279,,,0,1,0,
single_exp,1000,wynn_eps_3,wynn_eps,limit,0.01,0.03049279,,,0,1,0,
single_exp,1000,wynn_rho_1,wynn_rho,limit,0.01,0.03049279,-0.01132912,0.02132912,1,0,0,0.960789
single_exp,1000,wynn_rho_2,wynn_rho,limit,0.01,0.03049279,0.03219958,0.02219958,1,0,0,0.923116
single_exp,1000,wynn_rho_3,wynn_rho,limit,0.01,0.03049279,-0.01310599,0.02310599,1,0,0,0.886904
single_exp,1000,pade_11,pade,trajectory,0.01,0.03049279,-0.05828663,0.06828663,1,0,0,0.3001
single_exp,1000,pade_12,pade,trajectory,0.01,0.03049279,-0.00131799,0.01131799,1,0,1,1.810638
single_exp,1000,pade_13,pade,trajectory,0.01,0.03049279,0.0001024,0.0098976,1,0,1,2.070481
single_exp,1000,pade_21,pade,trajectory,0.01,0.03049279,1.14395465,1.13395465,1,1,0,0.018072
single_exp,1000,pade_22,pade,trajectory,0.01,0.03049279,0.06174445,0.05174445,1,0,0,0.396038
single_exp,1000,pade_23,pade,trajectory,0.01,0.03049279,0.00742634,0.00257366,1,0,1,7.962503
single_exp,1000,pade_31,pade,trajectory,0.01,0.03049279,,,0,1,0,
single_exp,1000,pade_32,pade,trajectory,0.01,0.03049279,,,0,1,0,
single_exp,1000,levin_t1,levin,limit,0.01,0.03049279,0.01,0.0,1,0,1,1.0
single_exp,1000,levin_t2,levin,limit,0.01,0.03049279,0.01,0.0,1,0,1,1.0
single_exp,1000,levin_u1,levin,limit,0.01,0.03049279,0.00156602,0.00843398,1,0,1,2.429789
single_exp,1000,levin_u2,levin,limit,0.01,0.03049279,0.01,0.0,1,0,1,1.0
single_exp,1000,levin_v1,levin,limit,0.01,0.03049279,0.01,0.0,1,0,1,1.0
single_exp,1000,levin_v2,levin,limit,0.01,0.03049279,0.01,0.0,1,0,1,6398726351.765934
single_exp,1000,weniger_d1,weniger,limit,0.01,0.03049279,-0.0,0.01,1,0,1,2.049279
single_exp,1000,weniger_d2,weniger,limit,0.01,0.03049279,0.0,0.01,1,0,1,2.049279
single_exp,1000,brezinski_theta1,brezinski,limit,0.01,0.03049279,0.00912954,0.00087046,1,0,1,23.542544
