method,broken_power_law,damped_osc_pow,delayed_plateau,four_exp,heavy_noise_plat,inv_sqrt_log,log_oscillatory,log_slow,logistic_tail,mixed_pow_rat,multiphase,noisy_plateau,osc_exp,power_law,random_knots,rational_decay,real_boot_a,real_boot_b,single_exp,slow_osc_power,staircase,stretched_exp,three_exp,two_exp
neville_4,-0.8667,-0.8667,-0.8556,-0.8667,-1.5667,-0.8667,-2.0,-0.8667,-0.6333,-0.8667,-0.8667,-1.7444,-1.5444,-0.8667,-0.8667,-0.8667,-0.8111,-0.9889,-0.7111,-1.0,-2.0,-0.8667,-0.8556,-0.8222
pade_11,1.4,0.8889,1.4,1.3911,1.1689,1.2667,1.4,1.2445,1.0,1.3378,1.4,1.0044,1.3111,1.2667,1.08,1.4,1.3511,1.4,1.0,0.3444,0.7778,1.3956,1.4,1.4
pade_12,1.2533,1.1555,1.4,1.3467,0.4933,0.6222,1.3067,1.0888,1.3511,1.3289,0.9356,0.8222,1.2711,1.0667,1.0756,1.3111,1.1156,1.3022,0.9689,0.1733,1.4,1.3333,1.3311,1.2422
pade_13,1.2533,1.0089,1.4,0.5888,0.6133,0.2222,1.3111,1.0399,1.3733,1.2667,1.3067,0.2133,0.6533,0.7956,0.8845,1.1867,0.5556,0.8422,1.0933,0.1733,0.7911,1.109,0.6467,1.4
pade_21,-1.0,-0.9222,-1.9334,-0.2445,1.04,-1.0,-1.0,-2.0,1.0,-0.6667,-0.6667,0.6711,-1.5667,-1.0,-1.4245,-0.0222,0.5667,0.1689,0.34,-2.0,-2.0,-0.1511,0.6244,0.6111
pade_22,1.4,0.9378,-0.2445,1.4,1.16,1.2222,1.4,1.0044,0.3289,1.3867,1.4,0.9688,1.4,0.9445,1.08,1.4,1.3956,1.4,1.1333,-0.3,-1.8556,1.4,1.2667,1.3956
pade_23,1.2533,1.1955,1.3956,1.1111,0.6533,0.6711,1.3111,1.0888,1.2978,1.3333,1.32,0.76,0.9377,1.1111,1.0267,1.2889,0.9911,1.2245,0.98,0.1733,1.4,1.3023,1.3289,1.1978
pade_31,-1.9444,-1.0,-0.0667,-0.3333,0.5555,-1.0111,-2.0,-2.0,0.0222,-1.0,-1.9222,0.2,-1.0,-1.0,-1.2889,-0.2,-0.3556,-0.3333,-0.4222,-1.0111,-1.0,-0.3333,-0.2,0.2222
pade_32,-1.0,-0.5444,0.0334,0.1111,0.9866,-0.8667,-1.0,-1.8667,1.2311,-0.4844,-1.6222,0.6089,-1.0,-0.8222,-1.2777,0.0756,0.24,0.2155,0.4756,-1.6667,-2.0,0.1334,0.4022,0.4733
rational_fit,1.4,1.4,1.4,1.4,1.1955,1.3645,1.32,1.4,1.12,1.4,1.4,1.0933,1.3956,1.4,1.4,1.4,1.4,1.4,1.1333,1.1067,1.4,1.4,1.4,1.4
richardson_1,-1.0,1.3867,1.4,1.4,1.1777,1.3778,1.4,1.4,1.0356,1.4,1.4,1.2712,1.3645,1.3911,1.3867,1.4,1.4,1.4,1.1378,0.4399,1.4,1.4,1.4,1.4
richardson_2,-1.0,1.3778,1.4,0.9844,1.0667,1.3467,1.3333,1.3867,1.12,1.4,1.4,1.1066,1.4,1.3911,1.3778,1.4,1.4,1.4,1.1822,0.9955,1.4,1.2111,1.4,1.4
richardson_3,-1.1111,1.3733,1.3623,0.9845,0.9334,1.1889,1.32,1.3778,1.1378,1.2489,1.4,0.7311,1.4,1.3778,1.2645,1.4,1.4,1.4,1.1911,1.1067,1.3623,1.1356,1.3623,1.4
richardson_a05,1.0,1.4,1.4,1.4,1.1733,1.3867,1.4,1.4,1.4,1.4,1.4,1.1378,1.0,1.4,1.3911,1.4,1.3822,1.4,0.9555,1.0,1.4,1.4,1.4,1.4
richardson_a10,1.0,1.4,1.4,1.4,1.1911,1.4,1.4,1.4,1.4,1.4,1.4,1.2222,1.4,1.4,1.4,1.4,1.4,1.4,1.0,1.4,1.4,1.4,1.4,1.4
richardson_a20,1.0,1.36,1.2622,1.3289,1.2356,1.3289,1.4,1.3422,1.0,1.3422,1.4,1.3067,1.4,1.3422,1.3245,1.3867,1.3822,1.3867,1.4,1.3689,1.0,1.32,1.3111,1.0267
shanks_1,1.2845,1.2845,1.2845,1.2845,0.9244,1.2845,1.1422,1.2845,1.2623,1.2845,1.2845,0.9955,1.1467,1.2845,1.2845,1.2845,1.2845,1.2845,1.2845,1.2845,1.0,1.2845,1.2845,1.2845
shanks_2,1.1778,1.1867,1.1467,1.16,0.9155,1.2178,1.2,1.1867,1.1378,1.16,1.0444,0.9023,1.0756,1.2044,1.1955,1.1555,1.1644,1.1555,1.1378,1.0844,1.0,1.1555,1.1555,1.1222
shanks_3,1.1911,1.2044,1.16,1.1733,0.9378,1.2578,1.2044,1.2089,1.14,1.1867,1.0533,0.9156,1.1022,1.24,1.2444,1.1733,1.1867,1.1867,1.1867,1.1156,1.0044,1.1822,1.1778,1.1689
shanks_4,1.1956,1.1956,1.1378,1.1111,0.9556,1.2045,1.2178,1.1956,1.1289,1.1644,1.0444,0.8844,1.1022,1.2178,1.2178,1.1378,1.1689,1.1689,1.1689,1.0978,0.0,1.16,1.16,1.1511
single_exp_fit,1.4,1.3956,1.4,1.4,1.2267,1.3378,1.3111,1.4,1.3867,1.4,1.3956,1.1334,1.4,1.3822,1.3911,1.4,1.4,1.4,1.4,1.3778,1.4,1.4,1.4,1.4
stability_weighted,1.4,1.3378,1.1778,1.2756,0.8045,1.3244,1.3867,1.3956,1.1867,1.2978,1.36,0.9822,1.0889,1.32,1.3378,1.2622,1.2089,1.2622,1.2311,1.3244,1.0,1.2444,1.2444,1.2578
window_mean,1.4,1.0,1.0,1.0,1.2533,1.0,1.4,1.0,1.0,1.0,1.0,1.1334,1.0,1.0,1.0,1.0,1.0,1.0,0.7555,1.0,1.0,1.0,1.0,1.0
window_min,1.4,1.1956,1.0489,1.1378,0.2133,1.2178,1.4,1.1867,1.0267,1.1422,1.1689,0.3866,1.2089,1.2133,1.1911,1.1067,1.1689,1.1289,1.1555,1.2178,1.0,1.12,1.1289,1.08
wynn_eps_1,1.2845,1.2845,1.2845,1.2845,0.9244,1.2845,1.1422,1.2845,1.2623,1.2845,1.2845,0.9955,1.1467,1.2845,1.2845,1.2845,1.2845,1.2845,1.2845,1.2845,0.0,1.2845,1.2845,1.2845
wynn_eps_2,1.2178,1.2267,1.2355,1.2178,0.8955,1.2223,1.22,1.2267,1.2089,1.2089,1.2178,1.0711,1.1022,1.2356,1.2178,1.2178,1.2133,1.2178,0.5823,1.0889,0.0,1.2178,1.2222,1.2178
wynn_eps_3,1.2267,1.2267,1.1978,1.2133,1.0245,1.2223,1.1778,1.2267,1.0911,1.2133,1.2267,0.9866,1.2178,1.2444,1.2489,1.2089,1.2178,1.1756,0.08,1.1156,0.0,1.2089,1.2089,1.2222
wynn_rho_1,1.2089,1.2267,1.12,1.2045,0.9555,1.2533,1.16,1.2222,1.1156,1.2,1.2089,1.02,1.1067,1.24,1.2178,1.2267,1.0711,1.2089,1.0711,1.2533,0.0,1.2178,1.2089,1.0933
wynn_rho_2,1.2578,1.2489,1.0578,1.2533,0.8022,1.2222,1.2444,1.2711,0.98,1.2533,1.1289,0.8889,1.2489,1.2445,1.2578,1.1955,0.4133,1.2178,1.0489,1.1022,0.0,1.2223,1.0889,1.0422
wynn_rho_3,1.2444,1.2156,1.2067,1.22,0.8689,1.2311,1.0067,1.2222,0.9511,1.2156,1.2489,0.9422,1.0933,1.2178,1.1955,1.14,1.0845,1.2533,1.0667,0.4444,-0.0222,1.1155,1.2112,1.2356
