method,family,method_type,regime,noise,future_idx,valid_rate,cat_rate,beats_rate,med_error,med_improve,stability,n_seeds
current_value,baseline,limit,single_exp,0.0,1000,1.0,0.0,0.0,0.02049279183546942,1.0,1.0,30
linear,baseline,trajectory,single_exp,0.0,1000,0.0,1.0,0.0,,,-2.0,30
log_linear,baseline,trajectory,single_exp,0.0,1000,1.0,0.0,1.0,0.00010942209853245267,187.2820217334035,1.4,30
geom_avg_diff,baseline,limit,single_exp,0.0,1000,1.0,0.0,1.0,5.915407053080912e-16,1.0,1.4,30
richardson_1,richardson,trajectory,single_exp,0.0,1000,1.0,0.0,1.0,0.004119150222611871,4.975004728639235,1.4,30
richardson_2,richardson,trajectory,single_exp,0.0,1000,1.0,0.0,1.0,0.006508158010942462,3.1487852324749883,1.4,30
richardson_3,richardson,trajectory,single_exp,0.0,1000,1.0,0.0,1.0,0.007444893266642382,2.752597129537035,1.4,30
richardson_a05,richardson,trajectory,single_exp,0.0,1000,1.0,1.0,0.0,0.18576105396564846,0.11031802090904917,-1.0,30
richardson_a10,richardson,trajectory,single_exp,0.0,1000,1.0,0.0,0.0,0.080132899208435,0.2557350606043253,1.0,30
richardson_a20,richardson,trajectory,single_exp,0.0,1000,1.0,0.0,1.0,0.0004748032322212624,43.16059884343753,1.4,30
single_exp_fit,parametric,trajectory,single_exp,0.0,1000,1.0,0.0,1.0,4.597017211338539e-16,1.0,1.4,30
double_exp_fit,parametric,trajectory,single_exp,0.0,1000,1.0,0.0,1.0,3.3797530746282334e-12,6063399125.015542,1.4,30
rational_fit,parametric,trajectory,single_exp,0.0,1000,1.0,0.0,1.0,0.00411933365230853,4.974783196788389,1.4,30
log_fit,parametric,trajectory,single_exp,0.0,1000,1.0,0.0,0.0,0.0475791955995267,0.43070908570958005,1.0,30
shanks_1,shanks,limit,single_exp,0.0,1000,1.0,0.0,1.0,3.308117668687771e-15,1.0,1.4,30
shanks_2,shanks,limit,single_exp,0.0,1000,1.0,0.0,1.0,4.732642124912617e-07,43300.95387435997,1.4,30
shanks_3,shanks,limit,single_exp,0.0,1000,1.0,0.0,1.0,1.706272509687315e-06,12010.269003996818,1.4,30
shanks_4,shanks,limit,single_exp,0.0,1000,1.0,0.0,1.0,8.032025812683419e-08,255138.52063459673,1.4,30
wynn_eps_1,wynn_eps,limit,single_exp,0.0,1000,1.0,0.0,1.0,2.888314587501384e-15,1.0,1.4,30
wynn_eps_2,wynn_eps,limit,single_exp,0.0,1000,0.0,1.0,0.0,,,-2.0,30
wynn_eps_3,wynn_eps,limit,single_exp,0.0,1000,0.0,1.0,0.0,,,-2.0,30
wynn_rho_1,wynn_rho,limit,single_exp,0.0,1000,1.0,0.0,0.0,0.021329118535632595,0.9607894391525837,1.0,30
wynn_rho_2,wynn_rho,limit,single_exp,0.0,1000,1.0,0.0,0.0,0.022199576347155484,0.9231163475826979,1.0,30
wynn_rho_3,wynn_rho,limit,single_exp,0.0,1000,1.0,0.0,0.0,0.023105992781995773,0.8869037582075866,1.0,30
pade_11,pade,trajectory,single_exp,0.0,1000,1.0,0.0,0.0,0.06828663312970323,0.3000996080235136,1.0,30
pade_12,pade,trajectory,single_exp,0.0,1000,1.0,0.0,1.0,0.011317994857456442,1.810638023215614,1.4,30
pade_13,pade,trajectory,single_exp,0.0,1000,1.0,0.0,1.0,0.009897598115300773,2.0704813023060065,1.4,30
pade_21,pade,trajectory,single_exp,0.0,1000,1.0,1.0,0.0,1.1339546515590548,0.018071967699320454,-1.0,30
