method,family,method_type,is_trivial,is_oracle,regime_set,target_g,valid_rate,cat_rate,beats_rate,med_error,med_improve,med_skill,stability,n_regimes,n_cells,n_capped_excluded,rank,rank_eligible
levin_v2,levin,limit,0,0,core,0.02,0.977,0.0459,0.4156,0.05313579768748238,0.9809121276277419,1.8980524411266662,1.0514,15,45,9,32.0,1
geom_avg_diff,baseline,limit,0,0,core,0.02,0.5963,0.4496,0.4067,0.05326336638891243,1.0009421887282628,1.9740707239808006,-0.1403,15,45,9,,0
weniger_d1,weniger,limit,0,0,core,0.02,0.9748,0.2126,0.5259,0.054116284017194656,1.7963274200783612,1.0,0.76,15,45,9,33.0,1
constant_assumed,trivial,limit,1,0,core,0.02,1.0,0.1874,0.5437,0.05411628401719469,1.8705084316058813,1.0,0.8427,15,45,9,34.0,1
weniger_d2,weniger,limit,0,0,core,0.02,0.9822,0.2044,0.5296,0.05411628401726872,1.7221464085508338,1.0,0.7852,15,45,9,35.0,1
wynn_rho_3,wynn_rho,limit,0,0,core,0.02,0.9711,0.0726,0.4911,0.05453327961551185,0.9954404554116987,1.653199499728182,1.0224,15,45,9,36.0,1
wynn_rho_2,wynn_rho,limit,0,0,core,0.02,0.9763,0.0556,0.4644,0.05490811989101271,0.9997716207851236,1.8706715164980268,1.051,15,45,9,37.0,1
log_fit,parametric,trajectory,0,0,core,0.02,1.0,0.0141,0.6837,0.07091499661786188,1.6393183307584533,1.634329116098479,1.2453,15,45,9,38.0,1
levin_u1,levin,limit,0,0,core,0.02,0.9778,0.0807,0.5119,0.08391524590411936,1.0002893017334982,1.9244361922904551,1.021,15,45,9,39.0,1
anderson_2,anderson,limit,0,0,core,0.02,1.0,0.0119,0.5637,0.09583887253002585,1.0000693274401846,1.9039362759240084,1.2018,15,45,9,40.0,1
anderson_3,anderson,limit,0,0,core,0.02,1.0,0.0119,0.5341,0.09633901917545455,0.999039499372308,1.8950639350569283,1.1899,15,45,9,41.0,1
anderson_1,anderson,limit,0,0,core,0.02,1.0,0.0148,0.6067,0.09689431735111645,1.0003799384192469,1.9213574257778072,1.213,15,45,9,42.0,1
current_value,baseline,limit,0,0,core,0.02,1.0,0.0,0.0,0.09699426623091595,1.0,1.873384344081087,1.0,15,45,9,43.0,1
last_value,trivial,limit,1,0,core,0.02,1.0,0.0,0.0,0.09699426623091595,1.0,1.873384344081087,1.0,15,45,9,44.0,1
window_min,trivial,limit,1,0,core,0.02,1.0,0.0482,0.3044,0.09699426623091595,1.0,1.9619005967755894,1.0255,15,45,9,45.0,1
