regime,is_holdout,obs_idx,target_g,method,n_f,achieved_g,med_error,med_skill,n
log_slow,0,30,0.1,current_value,50000.0,0.32236487497446525,0.1554238412125219,1.4783022631896885,60
log_slow,0,30,0.1,richardson_1,50000.0,0.32236487497446525,0.06727667615812236,0.6568761463388988,60
log_slow,0,30,0.1,richardson_a10,50000.0,0.32236487497446525,0.1767377979281613,1.7433347608348657,60
log_slow,0,30,0.1,single_exp_fit,50000.0,0.32236487497446525,0.1679160268279371,1.6458377469770624,60
log_slow,0,30,0.1,rational_fit,50000.0,0.32236487497446525,0.10790454405940116,1.050578223610775,60
log_slow,0,30,0.1,pade_22,50000.0,0.32236487497446525,0.07031697303008942,0.685546971861566,60
log_slow,0,30,0.1,log_linear,50000.0,0.32236487497446525,0.0679286536639653,0.6728028267218067,60
log_slow,0,30,0.1,levin_t2,50000.0,0.32236487497446525,0.14921353897002837,1.1479706886052905,60
log_slow,0,30,0.1,anderson_1,50000.0,0.32236487497446525,0.15193635054167265,1.349965459068883,60
log_slow,0,30,0.1,constant_assumed,50000.0,0.32236487497446525,0.10275805732146302,1.0,60
log_slow,0,30,0.1,last_value,50000.0,0.32236487497446525,0.1554238412125219,1.4783022631896885,60
log_slow,0,30,0.1,window_mean,50000.0,0.32236487497446525,0.23511536807284475,2.2972825626500057,60
log_slow,0,30,0.1,window_min,50000.0,0.32236487497446525,0.1539938618566375,1.3943596122924358,60
log_slow,0,30,0.02,current_value,50000.0,0.32236487497446525,0.1554238412125219,1.4783022631896885,60
log_slow,0,30,0.02,richardson_1,50000.0,0.32236487497446525,0.06727667615812236,0.6568761463388988,60
log_slow,0,30,0.02,richardson_a10,50000.0,0.32236487497446525,0.1767377979281613,1.7433347608348657,60
log_slow,0,30,0.02,single_exp_fit,50000.0,0.32236487497446525,0.1679160268279371,1.6458377469770624,60
log_slow,0,30,0.02,rational_fit,50000.0,0.32236487497446525,0.10790454405940116,1.050578223610775,60
log_slow,0,30,0.02,pade_22,50000.0,0.32236487497446525,0.07031697303008942,0.685546971861566,60
log_slow,0,30,0.02,log_linear,50000.0,0.32236487497446525,0.0679286536639653,0.6728028267218067,60
log_slow,0,30,0.02,levin_t2,50000.0,0.32236487497446525,0.14921353897002837,1.1479706886052905,60
log_slow,0,30,0.02,anderson_1,50000.0,0.32236487497446525,0.15193635054167265,1.349965459068883,60
log_slow,0,30,0.02,constant_assumed,50000.0,0.32236487497446525,0.10275805732146302,1.0,60
log_slow,0,30,0.02,last_value,50000.0,0.32236487497446525,0.1554238412125219,1.4783022631896885,60
log_slow,0,30,0.02,window_mean,50000.0,0.32236487497446525,0.23511536807284475,2.2972825626500057,60
log_slow,0,30,0.02,window_min,50000.0,0.32236487497446525,0.1539938618566375,1.3943596122924358,60
log_oscillatory,0,30,0.1,current_value,50000.0,0.3324862235710625,0.12316994816981629,1.1071280079970733,60
log_oscillatory,0,30,0.1,richardson_1,50000.0,0.3324862235710625,0.0798762975691086,0.687482589910801,60
log_oscillatory,0,30,0.1,richardson_a10,50000.0,0.3324862235710625,0.20377697209896994,1.9854016922613458,60
log_oscillatory,0,30,0.1,single_exp_fit,50000.0,0.3324862235710625,0.04770254479644147,0.42948994641861016,60
log_oscillatory,0,30,0.1,rational_fit,50000.0,0.3324862235710625,0.10190651575226456,0.9978229066131734,60
log_oscillatory,0,30,0.1,pade_22,50000.0,0.3324862235710625,0.11801739649219564,0.9688511416363434,60
log_oscillatory,0,30,0.1,log_linear,50000.0,0.3324862235710625,0.09207428583761414,0.8079645055771142,60
log_oscillatory,0,30,0.1,levin_t2,50000.0,0.3324862235710625,0.12204834653986384,1.194108246017232,60
log_oscillatory,0,30,0.1,anderson_1,50000.0,0.3324862235710625,0.11772418903835186,1.2562939587079698,60
log_oscillatory,0,30,0.1,constant_assumed,50000.0,0.3324862235710625,0.11757721977593429,1.0043457843742742,60
log_oscillatory,0,30,0.1,last_value,50000.0,0.3324862235710625,0.12316994816981629,1.1071280079970733,60
log_oscillatory,0,30,0.1,window_mean,50000.0,0.3324862235710625,0.2678007380505294,2.6069260034746113,60
log_oscillatory,0,30,0.1,window_min,50000.0,0.3324862235710625,0.12177929491242363,1.0142885319925676,60
log_oscillatory,0,30,0.02,current_value,50000.0,0.3324862235710625,0.12316994816981629,1.1071280079970733,60
log_oscillatory,0,30,0.02,richardson_1,50000.0,0.3324862235710625,0.0798762975691086,0.687482589910801,60
log_oscillatory,0,30,0.02,richardson_a10,50000.0,0.3324862235710625,0.20377697209896994,1.9854016922613458,60
log_oscillatory,0,30,0.02,single_exp_fit,50000.0,0.3324862235710625,0.04770254479644147,0.42948994641861016,60
log_oscillatory,0,30,0.02,rational_fit,50000.0,0.3324862235710625,0.10190651575226456,0.9978229066131734,60
log_oscillatory,0,30,0.02,pade_22,50000.0,0.3324862235710625,0.11801739649219564,0.9688511416363434,60
log_oscillatory,0,30,0.02,log_linear,50000.0,0.3324862235710625,0.09207428583761414,0.8079645055771142,60
log_oscillatory,0,30,0.02,levin_t2,50000.0,0.3324862235710625,0.12204834653986384,1.194108246017232,60
log_oscillatory,0,30,0.02,anderson_1,50000.0,0.3324862235710625,0.11772418903835186,1.2562939587079698,60
log_oscillatory,0,30,0.02,constant_assumed,50000.0,0.3324862235710625,0.11757721977593429,1.0043457843742742,60
