regime,target_g,feature,spearman_vs_margin,p_vs_margin,spearman_vs_losing,p_vs_losing,n_obs
ALL,0.02,log_log_slope,-0.1981,0.0,-0.1628,0.0,960
ALL,0.02,curvature_idx,0.2314,0.0,0.1903,0.0,960
ALL,0.02,oscillation_idx,0.2242,0.0,0.1712,0.0,960
ALL,0.02,noise_var,0.0168,0.603,0.022,0.4968,960
ALL,0.02,richardson_r2,-0.2914,0.0,-0.2961,0.0,960
ALL,0.02,diff_ratio_cv,0.3473,0.0,0.3401,0.0,960
broken_power_law,0.02,log_log_slope,,,,,0
broken_power_law,0.02,curvature_idx,,,,,0
broken_power_law,0.02,oscillation_idx,,,,,0
broken_power_law,0.02,noise_var,,,,,0
broken_power_law,0.02,richardson_r2,,,,,0
broken_power_law,0.02,diff_ratio_cv,,,,,0
damped_osc_pow,0.02,log_log_slope,-0.0341,0.814,,,50
damped_osc_pow,0.02,curvature_idx,-0.1592,0.2695,,,50
damped_osc_pow,0.02,oscillation_idx,-0.1885,0.1898,,,50
damped_osc_pow,0.02,noise_var,0.2271,0.1127,,,50
damped_osc_pow,0.02,richardson_r2,0.0969,0.5031,,,50
damped_osc_pow,0.02,diff_ratio_cv,0.1436,0.3199,,,50
delayed_plateau,0.02,log_log_slope,0.0533,0.6733,,,65
delayed_plateau,0.02,curvature_idx,0.1133,0.369,,,65
delayed_plateau,0.02,oscillation_idx,0.2007,0.109,,,65
delayed_plateau,0.02,noise_var,0.1599,0.2032,,,65
delayed_plateau,0.02,richardson_r2,-0.1799,0.1516,,,65
delayed_plateau,0.02,diff_ratio_cv,0.1466,0.244,,,65
four_exp,0.02,log_log_slope,,,,,65
four_exp,0.02,curvature_idx,,,,,65
four_exp,0.02,oscillation_idx,,,,,65
four_exp,0.02,noise_var,,,,,65
four_exp,0.02,richardson_r2,,,,,65
four_exp,0.02,diff_ratio_cv,,,,,65
heavy_noise_plat,0.02,log_log_slope,-0.1349,0.2839,,,65
heavy_noise_plat,0.02,curvature_idx,-0.2818,0.023,,,65
heavy_noise_plat,0.02,oscillation_idx,0.0966,0.4442,,,65
heavy_noise_plat,0.02,noise_var,-0.2863,0.0208,,,65
heavy_noise_plat,0.02,richardson_r2,0.1127,0.3712,,,65
heavy_noise_plat,0.02,diff_ratio_cv,0.0709,0.5748,,,65
log_oscillatory,0.02,log_log_slope,,,,,0
log_oscillatory,0.02,curvature_idx,,,,,0
log_oscillatory,0.02,oscillation_idx,,,,,0
log_oscillatory,0.02,noise_var,,,,,0
log_oscillatory,0.02,richardson_r2,,,,,0
log_oscillatory,0.02,diff_ratio_cv,,,,,0
log_slow,0.02,log_log_slope,,,,,0
log_slow,0.02,curvature_idx,,,,,0
log_slow,0.02,oscillation_idx,,,,,0
log_slow,0.02,noise_var,,,,,0
log_slow,0.02,richardson_r2,,,,,0
log_slow,0.02,diff_ratio_cv,,,,,0
mixed_pow_rat,0.02,log_log_slope,-0.6493,0.0,,,65
mixed_pow_rat,0.02,curvature_idx,0.4652,0.0001,,,65
mixed_pow_rat,0.02,oscillation_idx,0.4979,0.0,,,65
mixed_pow_rat,0.02,noise_var,0.0556,0.66,,,65
mixed_pow_rat,0.02,richardson_r2,-0.2506,0.044,,,65
mixed_pow_rat,0.02,diff_ratio_cv,0.1788,0.1541,,,65
multiphase,0.02,log_log_slope,0.2132,0.0882,,,65
multiphase,0.02,curvature_idx,0.2132,0.0882,,,65
multiphase,0.02,oscillation_idx,0.1473,0.2416,,,65
multiphase,0.02,noise_var,0.1732,0.1676,,,65
multiphase,0.02,richardson_r2,-0.2132,0.0882,,,65
multiphase,0.02,diff_ratio_cv,0.2132,0.0882,,,65
noisy_plateau,0.02,log_log_slope,-0.1151,0.3611,,,65
noisy_plateau,0.02,curvature_idx,0.1319,0.2949,,,65
noisy_plateau,0.02,oscillation_idx,0.0362,0.7747,,,65
noisy_plateau,0.02,noise_var,-0.0589,0.6412,,,65
noisy_plateau,0.02,richardson_r2,0.1764,0.1598,,,65
noisy_plateau,0.02,diff_ratio_cv,0.2591,0.0371,,,65
osc_exp,0.02,log_log_slope,-0.7437,0.0,,,65
osc_exp,0.02,curvature_idx,0.2525,0.0425,,,65
osc_exp,0.02,oscillation_idx,0.3471,0.0046,,,65
osc_exp,0.02,noise_var,-0.1228,0.33,,,65
osc_exp,0.02,richardson_r2,-0.5531,0.0,,,65
osc_exp,0.02,diff_ratio_cv,0.2437,0.0505,,,65
power_law,0.02,log_log_slope,-0.0465,0.713,,,65
power_law,0.02,curvature_idx,0.2535,0.0416,,,65
power_law,0.02,oscillation_idx,0.1602,0.2025,,,65
power_law,0.02,noise_var,0.1834,0.1436,,,65
power_law,0.02,richardson_r2,-0.2569,0.0389,,,65
power_law,0.02,diff_ratio_cv,0.1996,0.1109,,,65
rational_decay,0.02,log_log_slope,-0.443,0.0002,,,65
rational_decay,0.02,curvature_idx,0.5122,0.0,,,65
rational_decay,0.02,oscillation_idx,0.555,0.0,,,65
rational_decay,0.02,noise_var,0.1978,0.1143,,,65
rational_decay,0.02,richardson_r2,0.0138,0.9133,,,65
rational_decay,0.02,diff_ratio_cv,0.4053,0.0008,,,65
single_exp,0.02,log_log_slope,-0.7043,0.0,,,65
single_exp,0.02,curvature_idx,0.2445,0.0496,,,65
single_exp,0.02,oscillation_idx,0.4171,0.0005,,,65
single_exp,0.02,noise_var,-0.0827,0.5125,,,65
single_exp,0.02,richardson_r2,-0.4106,0.0007,,,65
single_exp,0.02,diff_ratio_cv,0.3501,0.0042,,,65
slow_osc_power,0.02,log_log_slope,-0.0601,0.6343,,,65
slow_osc_power,0.02,curvature_idx,0.3052,0.0134,,,65
slow_osc_power,0.02,oscillation_idx,0.3583,0.0034,,,65
slow_osc_power,0.02,noise_var,-0.0671,0.5956,,,65
slow_osc_power,0.02,richardson_r2,-0.2598,0.0366,,,65
slow_osc_power,0.02,diff_ratio_cv,0.02,0.8743,,,65
staircase,0.02,log_log_slope,0.5225,0.0,,,65
staircase,0.02,curvature_idx,0.2749,0.0267,,,65
staircase,0.02,oscillation_idx,0.0145,0.9089,,,65
staircase,0.02,noise_var,0.1374,0.2751,,,65
staircase,0.02,richardson_r2,-0.5649,0.0,,,65
staircase,0.02,diff_ratio_cv,-0.1431,0.2555,,,65
three_exp,0.02,log_log_slope,,,,,65
three_exp,0.02,curvature_idx,,,,,65
three_exp,0.02,oscillation_idx,,,,,65
three_exp,0.02,noise_var,,,,,65
three_exp,0.02,richardson_r2,,,,,65
three_exp,0.02,diff_ratio_cv,,,,,65
two_exp,0.02,log_log_slope,-0.6724,0.0,,,65
two_exp,0.02,curvature_idx,0.4272,0.0004,,,65
two_exp,0.02,oscillation_idx,0.4798,0.0001,,,65
two_exp,0.02,noise_var,0.0436,0.7303,,,65
two_exp,0.02,richardson_r2,-0.5398,0.0,,,65
two_exp,0.02,diff_ratio_cv,0.3658,0.0027,,,65
