regime,obs_idx,noise,target_g,n_f,achieved_g,capped,richardson_stability,richardson_valid_rate,richardson_below_floor,richardson_rank,richardson_err_rank,n_rank_pool,n_rank_eligible,best_method,best_stability,stability_margin,richardson_wins,constant_assumed_stability,constant_assumed_med_error,constant_assumed_valid_rate,constant_oracle_stability,constant_oracle_med_error
broken_power_law,20,0.0,0.1,50000.0,0.20436470335589355,1,1.2,1.0,0,6.0,7.0,9,9,rational_fit,1.4,0.2,0,0.6,0.049361440175231835,1.0,1.4,0.010555978838859122
broken_power_law,20,0.003,0.1,50000.0,0.20436470335589355,1,1.2,1.0,0,3.0,7.0,9,9,rational_fit,1.4,0.2,0,0.6,0.049361440175231835,1.0,1.4,0.010555978838859122
broken_power_law,20,0.005,0.1,50000.0,0.20436470335589355,1,1.2,1.0,0,4.0,5.0,9,9,pade_22,1.4,0.2,0,0.8,0.049361440175231835,1.0,1.4,0.010555978838859122
broken_power_law,20,0.01,0.1,50000.0,0.20436470335589355,1,1.1,1.0,0,5.0,6.0,9,9,rational_fit,1.4,0.3,0,0.58,0.049361440175231835,1.0,1.4,0.010555978838859122
broken_power_law,20,0.02,0.1,50000.0,0.20436470335589355,1,1.22,1.0,0,2.0,2.0,9,9,rational_fit,1.38,0.16,0,0.76,0.049361440175231835,1.0,1.38,0.010555978838859122
broken_power_law,30,0.0,0.1,50000.0,0.2901576654864911,1,1.14,1.0,0,5.0,8.0,9,9,levin_t2,1.4,0.26,0,0.54,0.049361440175231835,1.0,1.4,0.010555978838859122
broken_power_law,30,0.003,0.1,50000.0,0.2901576654864911,1,1.12,1.0,0,5.0,8.0,9,9,rational_fit,1.4,0.28,0,0.52,0.049361440175231835,1.0,1.4,0.010555978838859122
broken_power_law,30,0.005,0.1,50000.0,0.2901576654864911,1,1.14,1.0,0,4.0,8.0,9,9,rational_fit,1.4,0.26,0,0.54,0.049361440175231835,1.0,1.4,0.010555978838859122
broken_power_law,30,0.01,0.1,50000.0,0.2901576654864911,1,0.88,1.0,0,8.0,8.0,9,9,rational_fit,1.38,0.5,0,0.38,0.049361440175231835,1.0,1.36,0.010555978838859122
broken_power_law,30,0.02,0.1,50000.0,0.2901576654864911,1,0.6,1.0,0,6.0,6.0,9,9,rational_fit,1.24,0.64,0,0.34,0.049361440175231835,1.0,1.12,0.010555978838859122
broken_power_law,40,0.0,0.1,50000.0,0.37317624894888063,1,1.02,1.0,0,5.0,8.0,9,9,levin_t2,1.4,0.38,0,0.32,0.049361440175231835,1.0,1.4,0.010555978838859122
broken_power_law,40,0.003,0.1,50000.0,0.37317624894888063,1,1.02,1.0,0,5.0,8.0,9,9,rational_fit,1.4,0.38,0,0.32,0.049361440175231835,1.0,1.4,0.010555978838859122
broken_power_law,40,0.005,0.1,50000.0,0.37317624894888063,1,1.04,1.0,0,6.0,8.0,9,9,rational_fit,1.4,0.36,0,0.24,0.049361440175231835,1.0,1.4,0.010555978838859122
broken_power_law,40,0.01,0.1,50000.0,0.37317624894888063,1,1.0,1.0,0,7.0,8.0,9,9,rational_fit,1.38,0.38,0,0.44,0.049361440175231835,1.0,1.38,0.010555978838859122
broken_power_law,40,0.02,0.1,50000.0,0.37317624894888063,1,0.66,1.0,0,6.0,7.0,9,8,rational_fit,1.18,0.52,0,0.14,0.049361440175231835,1.0,1.08,0.010555978838859122
broken_power_law,50,0.0,0.1,50000.0,0.4541733869663374,1,1.0,1.0,0,8.0,8.0,9,9,levin_t2,1.4,0.4,0,0.2,0.049361440175231835,1.0,1.4,0.010555978838859122
broken_power_law,50,0.003,0.1,50000.0,0.4541733869663374,1,0.9,1.0,0,8.0,8.0,9,9,rational_fit,1.4,0.5,0,0.2,0.049361440175231835,1.0,1.3,0.010555978838859122
broken_power_law,50,0.005,0.1,50000.0,0.4541733869663374,1,1.02,1.0,0,6.0,8.0,9,9,rational_fit,1.4,0.38,0,0.22,0.049361440175231835,1.0,1.36,0.010555978838859122
broken_power_law,50,0.01,0.1,50000.0,0.4541733869663374,1,0.52,1.0,0,8.0,8.0,9,9,rational_fit,1.08,0.56,0,0.0,0.049361440175231835,1.0,0.92,0.010555978838859122
broken_power_law,50,0.02,0.1,50000.0,0.4541733869663374,1,0.88,1.0,0,7.0,7.0,9,8,rational_fit,1.24,0.36,0,0.3,0.049361440175231835,1.0,1.2,0.010555978838859122
broken_power_law,60,0.0,0.1,19289.0,0.09999977963058883,0,1.4,1.0,0,7.0,7.0,9,9,levin_t2,1.4,0.0,0,1.28,0.054256479246251155,1.0,1.4,0.015451017909878443
broken_power_law,60,0.003,0.1,19289.0,0.09999977963058883,0,1.4,1.0,0,7.0,7.0,9,9,anderson_1,1.4,0.0,0,1.28,0.054256479246251155,1.0,1.4,0.015451017909878443
broken_power_law,60,0.005,0.1,19289.0,0.09999977963058883,0,1.4,1.0,0,7.0,7.0,9,9,levin_t2,1.4,0.0,0,1.28,0.054256479246251155,1.0,1.4,0.015451017909878443
broken_power_law,60,0.01,0.1,19289.0,0.09999977963058883,0,1.4,1.0,0,6.0,6.0,9,9,rational_fit,1.4,0.0,0,1.28,0.054256479246251155,1.0,1.4,0.015451017909878443
