regime,obs_idx,noise,seed,L_true,L_hat,log_log_slope,curvature_idx,oscillation_idx,noise_var,richardson_r2,diff_ratio_cv
single_exp,20,0.0,0,0.06735891791521717,0.0,-0.23922084548381087,0.0021002632892353403,0.0,2.7710444634438445e-08,0.8635459387172201,0.0009345417506427845
two_exp,20,0.0,0,0.13596366675481716,0.0,-0.19289587152667687,0.004892909961084994,0.0,1.3344459340876246e-06,0.938841241590201,0.009194113818729243
three_exp,20,0.0,0,0.06521067692414381,0.0,-0.23236885124696013,0.006769751811454568,0.0,5.266794307319173e-06,0.9597208534382264,0.015067213461919856
four_exp,20,0.0,0,0.07874497719263741,0.0,-0.18272157094197863,0.007112557894116091,0.0,5.048432298922635e-06,0.9662244445925003,0.012890538048275559
power_law,20,0.0,0,0.1459630352831592,0.0,-0.3312337218718454,0.016546267556160215,0.0,0.00016593882066323162,0.9991227366678014,0.047658990144019885
rational_decay,20,0.0,0,0.458687030565698,0.0,-0.11229905086975979,0.0031454899875952257,0.0,2.1511109143997518e-07,0.919499879740267,0.0037035305451294646
mixed_pow_rat,20,0.0,0,0.012216375422538948,0.0,-0.21788429086925268,0.01055029779012154,0.0,2.5484806864204074e-05,0.9842211415012919,0.0210817442662016
multiphase,20,0.0,0,0.15559566430540717,0.0,-0.1757825023339835,0.0030273671576937647,0.0,9.630887144111545e-08,0.9023633352370126,0.004425306542712914
osc_exp,20,0.0,0,0.014799026856258274,0.0,-0.3194602381265308,0.004937059254212829,0.0,3.245260646344144e-06,0.8661858026479436,0.016217954352405386
damped_osc_pow,20,0.0,0,0.008399554389805833,0.0,-0.4988904718157033,0.01533953533761126,0.0,0.0001972310547776484,0.9907635452161935,0.05260805636951008
log_slow,20,0.0,0,0.13535386305677266,0.0,-0.21945821820536957,0.014128222779714619,0.0,7.853331387767419e-05,0.9990605792137689,0.030884595880163956
delayed_plateau,20,0.0,0,0.09290598631024231,0.0,-0.09426743075718513,0.005373067519247177,0.0,5.009426740176087e-07,0.9601593153382798,0.005932008807890955
staircase,20,0.0,0,0.009447812101444329,0.0,-0.016636725532800867,0.055555555555555185,0.0,0.001180555555555554,-0.32443001283492334,0.04774340377316943
noisy_plateau,20,0.0,0,0.01714830526085775,0.0,-0.16987955023411594,0.23031675871542734,0.5,1.9941497054914112e-05,0.6318271877171331,0.09665555150966007
slow_osc_power,20,0.0,0,0.010563587159109612,0.0,-0.5337107580649532,0.02015644306573179,0.0,0.00020993348143022754,0.9906130705157307,0.08554733777373114
log_oscillatory,20,0.0,0,0.06520252252606136,0.0,-0.24000431006474288,0.010896761553033712,0.0,6.943344411443533e-05,0.9682479577408822,0.023364425515411482
heavy_noise_plat,20,0.0,0,0.18053545412092245,0.0,-0.06055462598692802,0.30276245274128405,0.6111111111111112,0.00017153928255281877,0.7581500039299809,0.038547352590983346
broken_power_law,20,0.0,0,0.06266323218193295,0.0,-0.4979077019049111,0.018971191129169427,0.0,0.00022443256406607588,0.9989162661716318,0.06885013761142318
single_exp,20,0.0,1,0.007845893898485853,0.0,-0.2670069160119642,0.00210026328923534,0.0,2.7710444634438256e-08,0.856979858603165,0.000137573173113709
two_exp,20,0.0,1,0.14304591375660955,0.0,-0.1907951390941313,0.004892909961084994,0.0,1.3344459340876246e-06,0.9392398128852535,0.00914061640280541
three_exp,20,0.0,1,0.2252323301618024,0.0,-0.1792792414106714,0.006769751811454568,0.0,5.266794307319173e-06,0.9677009504496936,0.01282178743144829
four_exp,20,0.0,1,0.006767935035822961,0.0,-0.2124333950285274,0.007112557894116091,0.0,5.04843229892263e-06,0.9617264288648112,0.014138305436323146
power_law,20,0.0,1,0.1061809441131961,0.0,-0.37283869140711134,0.01654626755616021,0.0,0.00016593882066323165,0.9989659941025465,0.05086752689073654
rational_decay,20,0.0,1,0.01034001371423024,0.0,-0.19582227548704476,0.003145489987595264,0.0,2.1511109143998172e-07,0.9006174644500515,0.00458237505258126
mixed_pow_rat,20,0.0,1,0.17808662687447444,0.0,-0.15623586054519556,0.010550297790121529,0.0,2.5484806864204098e-05,0.9900639691790272,0.016745507929688822
multiphase,20,0.0,1,0.00767518487871059,0.0,-0.22379844342882135,0.003027367157693765,0.0,9.630887144111578e-08,0.8913810366468287,0.004431016082830926
osc_exp,20,0.0,1,0.3478395265589302,0.0,-0.19691893561766768,0.0049370592542128154,0.0,3.2452606463441976e-06,0.8938602020708968,0.01081853107205175
damped_osc_pow,20,0.0,1,0.006080704058338458,0.0,-0.5030773235679326,0.015339535337611261,0.0,0.0001972310547776484,0.9904876282462539,0.05274664897222591
log_slow,20,0.0,1,0.008470969196247019,0.0,-0.29225075450729815,0.014128222779714619,0.0,7.853331387767419e-05,0.9977966230561084,0.03726582976643449
delayed_plateau,20,0.0,1,0.06539130467751941,0.0,-0.09828835817224305,0.005373067519247177,0.0,5.009426740176087e-07,0.9594842421054043,0.006136279398490157
staircase,20,0.0,1,0.07234264834831271,0.0,-0.015123947703396642,0.055555555555555185,0.0,0.001180555555555554,-0.4272096897700459,0.04381532245201689
noisy_plateau,20,0.0,1,0.02292963252837559,0.0,-0.12713177654078067,0.48044288900226473,0.6666666666666666,7.850494842115698e-05,0.49294405799205554,0.1406777986180521
slow_osc_power,20,0.0,1,0.2673348271239766,0.0,-0.23133590969084628,0.020156443065731805,0.0,0.00020993348143022827,0.9591293402746267,0.05004167561377646
log_oscillatory,20,0.0,1,0.2080137485513171,0.0,-0.18421538104336438,0.010896761553033728,0.0,6.943344411443533e-05,0.9745360318081033,0.01975190123975986
heavy_noise_plat,20,0.0,1,0.3628081916052461,0.0,-0.040294594224188865,0.18507543973053112,0.5555555555555556,0.0002092355837068981,0.6900534704030463,0.024893011549482813
broken_power_law,20,0.0,1,0.0904894576414225,0.0,-0.43877478671305686,0.018971191129169427,0.0,0.00022443256406607588,0.9986626505905776,0.06507155759965826
single_exp,20,0.0,2,0.006211456719262265,0.0,-0.267864371974925,0.0021002632892353403,0.0,2.771044463443845e-08,0.8567792061111675,0.00010966515837323479
two_exp,20,0.0,2,0.49745517645965387,0.0,-0.12374022959116147,0.004892909961084978,0.0,1.334445934087587e-06,0.9516564542308527,0.006902988412110936
three_exp,20,0.0,2,0.05246683331393133,0.0,-0.2380154175696505,0.0067697518114545685,0.0,5.266794307319177e-06,0.9588429948696505,0.015266991965542894
four_exp,20,0.0,2,0.3966223681344948,0.0,-0.11330032548262878,0.007112557894116103,0.0,5.04843229892262e-06,0.975985273094448,0.00909129820240819
power_law,20,0.0,2,0.051841715972091244,0.0,-0.45206194390503296,0.016546267556160208,0.0,0.0001659388206632314,0.9970482153792305,0.05574864142474022
rational_decay,20,0.0,2,0.2610639300909983,0.0,-0.13821083737399692,0.0031454899875952816,0.0,2.1511109143999504e-07,0.9136666408872159,0.004148448369330922
mixed_pow_rat,20,0.0,2,0.013928920690288718,0.0,-0.21699476426200703,0.01055029779012154,0.0,2.5484806864204074e-05,0.9843129217090978,0.021027119061022795
