target_g,feature,operator,threshold,alternative,n_fire,n_total,fire_rate,precision,recall,mean_gain
0.02,log_log_slope,>,-0.1,rational_fit,84,960,0.087,0.405,0.149,-0.0143
0.02,log_log_slope,>,-0.1,pade_22,84,960,0.087,0.381,0.232,-0.1625
0.02,richardson_r2,<,0.5,rational_fit,185,960,0.193,0.324,0.263,-0.0419
0.02,richardson_r2,<,0.7,rational_fit,261,960,0.272,0.287,0.329,-0.0291
0.02,richardson_r2,<,0.85,rational_fit,405,960,0.422,0.286,0.509,-0.0181
0.02,curvature_idx,>,0.1,rational_fit,402,960,0.419,0.281,0.496,-0.0247
0.02,noise_var,>,0.0001,single_exp_fit,612,960,0.637,0.258,0.617,-0.0316
0.02,noise_var,>,1e-05,richardson_a10,826,960,0.86,0.235,0.933,-0.1315
0.02,richardson_r2,<,0.5,pade_22,185,960,0.193,0.205,0.275,-0.4161
0.02,diff_ratio_cv,<,0.01,levin_t2,119,960,0.124,0.185,0.229,-0.045
0.02,curvature_idx,>,0.2,pade_22,255,960,0.266,0.149,0.275,-0.5438
0.02,log_log_slope,>,-0.3,rational_fit,394,960,0.41,0.147,0.254,-0.0284
0.02,diff_ratio_cv,<,0.05,pade_22,473,960,0.493,0.125,0.428,-0.2325
0.02,richardson_r2,<,0.5,levin_t2,185,960,0.193,0.092,0.177,-0.2652
0.02,oscillation_idx,>,0.05,levin_t2,788,960,0.821,0.082,0.677,-0.2029
0.02,richardson_r2,<,0.7,log_linear,261,960,0.272,0.069,0.316,-0.4487
0.02,oscillation_idx,>,0.05,log_linear,788,960,0.821,0.063,0.877,-0.1773
0.02,oscillation_idx,>,0.1,log_linear,767,960,0.799,0.061,0.825,-0.1819
0.02,oscillation_idx,>,0.2,log_linear,746,960,0.777,0.059,0.772,-0.1881
