regime,target_g,feature,spearman_vs_margin,p_vs_margin,spearman_vs_losing,p_vs_losing,n_obs
ALL,0.5,log_log_slope,-0.0915,0.0017,-0.1309,0.0,1170
ALL,0.5,curvature_idx,0.0864,0.0031,0.0335,0.2526,1170
ALL,0.5,oscillation_idx,0.1011,0.0005,0.0671,0.0217,1170
ALL,0.5,noise_var,0.1759,0.0,0.1258,0.0,1170
ALL,0.5,richardson_r2,-0.3407,0.0,-0.2934,0.0,1170
ALL,0.5,diff_ratio_cv,0.3005,0.0,0.2297,0.0,1170
broken_power_law,0.5,log_log_slope,0.175,0.1632,,,65
broken_power_law,0.5,curvature_idx,-0.1078,0.3926,,,65
broken_power_law,0.5,oscillation_idx,0.0513,0.6848,,,65
broken_power_law,0.5,noise_var,0.3917,0.0013,,,65
broken_power_law,0.5,richardson_r2,-0.2726,0.028,,,65
broken_power_law,0.5,diff_ratio_cv,0.4682,0.0001,,,65
damped_osc_pow,0.5,log_log_slope,-0.3225,0.0088,,,65
damped_osc_pow,0.5,curvature_idx,0.2378,0.0564,,,65
damped_osc_pow,0.5,oscillation_idx,0.2284,0.0673,,,65
damped_osc_pow,0.5,noise_var,0.3194,0.0095,,,65
damped_osc_pow,0.5,richardson_r2,-0.2505,0.0442,,,65
damped_osc_pow,0.5,diff_ratio_cv,0.3518,0.0041,,,65
delayed_plateau,0.5,log_log_slope,0.2395,0.0547,,,65
delayed_plateau,0.5,curvature_idx,-0.0236,0.852,,,65
delayed_plateau,0.5,oscillation_idx,0.0066,0.9584,,,65
delayed_plateau,0.5,noise_var,0.1075,0.3939,,,65
delayed_plateau,0.5,richardson_r2,-0.3742,0.0021,,,65
delayed_plateau,0.5,diff_ratio_cv,0.0421,0.7389,,,65
four_exp,0.5,log_log_slope,-0.0332,0.7927,,,65
four_exp,0.5,curvature_idx,0.1852,0.1397,,,65
four_exp,0.5,oscillation_idx,0.1454,0.2478,,,65
four_exp,0.5,noise_var,0.2232,0.0739,,,65
four_exp,0.5,richardson_r2,-0.2184,0.0805,,,65
four_exp,0.5,diff_ratio_cv,0.2517,0.0431,,,65
heavy_noise_plat,0.5,log_log_slope,-0.0896,0.478,,,65
heavy_noise_plat,0.5,curvature_idx,-0.2731,0.0278,,,65
heavy_noise_plat,0.5,oscillation_idx,-0.1595,0.2043,,,65
heavy_noise_plat,0.5,noise_var,-0.3559,0.0036,,,65
heavy_noise_plat,0.5,richardson_r2,0.1516,0.2281,,,65
heavy_noise_plat,0.5,diff_ratio_cv,-0.2367,0.0576,,,65
log_oscillatory,0.5,log_log_slope,-0.4558,0.0001,,,65
log_oscillatory,0.5,curvature_idx,-0.1194,0.3436,,,65
log_oscillatory,0.5,oscillation_idx,-0.101,0.4234,,,65
log_oscillatory,0.5,noise_var,0.0934,0.4594,,,65
log_oscillatory,0.5,richardson_r2,0.3398,0.0056,,,65
log_oscillatory,0.5,diff_ratio_cv,0.0274,0.8285,,,65
log_slow,0.5,log_log_slope,0.0749,0.553,,,65
log_slow,0.5,curvature_idx,0.3371,0.006,,,65
log_slow,0.5,oscillation_idx,0.2843,0.0217,,,65
log_slow,0.5,noise_var,0.3557,0.0036,,,65
log_slow,0.5,richardson_r2,-0.3313,0.007,,,65
log_slow,0.5,diff_ratio_cv,0.3439,0.005,,,65
mixed_pow_rat,0.5,log_log_slope,-0.1954,0.1188,,,65
mixed_pow_rat,0.5,curvature_idx,0.2658,0.0324,,,65
mixed_pow_rat,0.5,oscillation_idx,0.2001,0.11,,,65
mixed_pow_rat,0.5,noise_var,0.2736,0.0275,,,65
mixed_pow_rat,0.5,richardson_r2,-0.3009,0.0149,,,65
mixed_pow_rat,0.5,diff_ratio_cv,0.3361,0.0062,,,65
multiphase,0.5,log_log_slope,0.2132,0.0882,,,65
multiphase,0.5,curvature_idx,0.2132,0.0882,,,65
multiphase,0.5,oscillation_idx,0.1473,0.2416,,,65
multiphase,0.5,noise_var,0.1732,0.1676,,,65
