method,regime,obs_idx,noise,target_g,n_f,achieved_g,capped,L_true,L_hat,is_trivial,is_oracle,valid_rate,cat_rate,beats_rate,med_error,med_skill,stability,n_seeds
anderson_1,single_exp,20,0.0,0.02,118.0,0.019841094744370295,0,0.02327915654581565,0.0,0,0,1.0,0.0,1.0,0.0036818172732993593,0.12318983477919578,1.4,20
constant_assumed,single_exp,20,0.0,0.02,118.0,0.019841094744370295,0,0.02327915654581565,0.0,1,0,1.0,0.0,0.9,0.029965540457145314,1.0,1.36,20
constant_oracle,single_exp,20,0.0,0.02,118.0,0.019841094744370295,0,0.02327915654581565,0.0,1,1,1.0,0.0,1.0,0.006686383911329665,0.22371955699177465,1.4,20
current_value,two_exp,20,0.0,0.5,57.0,0.4961937115703413,0,0.05121174159446621,0.0,0,0,1.0,0.0,0.0,0.18201761971309505,1.0,1.0,20
richardson_1,two_exp,20,0.0,0.5,57.0,0.4961937115703413,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.13017079173433793,0.7151548951113604,1.4,20
richardson_a10,two_exp,20,0.0,0.5,57.0,0.4961937115703413,0,0.05121174159446621,0.0,0,0,1.0,0.0,0.0,0.24811219125554435,1.3631218320876342,1.0,20
single_exp_fit,two_exp,20,0.0,0.5,57.0,0.4961937115703413,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.11550233917093396,0.634566803768747,1.4,20
rational_fit,two_exp,20,0.0,0.5,57.0,0.4961937115703413,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.04445679063319283,0.24424443470510032,1.4,20
pade_22,two_exp,20,0.0,0.5,57.0,0.4961937115703413,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.04316379572161984,0.23714075477778856,1.4,20
log_linear,two_exp,20,0.0,0.5,57.0,0.4961937115703413,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.11608196727510896,0.6377512652790591,1.4,20
weniger_d2,two_exp,20,0.0,0.5,57.0,0.4961937115703413,0,0.05121174159446621,0.0,0,0,1.0,0.0,0.0,0.23047905200885266,1.2662458303330464,1.0,20
anderson_1,two_exp,20,0.0,0.5,57.0,0.4961937115703413,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.031659230424904095,0.17393497659625975,1.4,20
constant_assumed,two_exp,20,0.0,0.5,57.0,0.4961937115703413,0,0.05121174159446621,0.0,1,0,1.0,0.0,0.0,0.23047905200885266,1.2662458303330464,1.0,20
constant_oracle,two_exp,20,0.0,0.5,57.0,0.4961937115703413,0,0.05121174159446621,0.0,1,1,1.0,0.0,1.0,0.17926731041438645,0.9848898732823573,1.4,20
current_value,two_exp,20,0.0,0.1,146.0,0.09995263785978915,0,0.05121174159446621,0.0,0,0,1.0,0.0,0.0,0.3251735483422501,3.7983701477837806,1.0,20
richardson_1,two_exp,20,0.0,0.1,146.0,0.09995263785978915,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.21051341654260924,2.4621803950208188,1.4,20
richardson_a10,two_exp,20,0.0,0.1,146.0,0.09995263785978915,0,0.05121174159446621,0.0,0,0,1.0,0.0,0.0,0.38717452300478605,4.5226069514607055,1.0,20
single_exp_fit,two_exp,20,0.0,0.1,146.0,0.09995263785978915,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.25621365069654833,2.9928457967742528,1.4,20
rational_fit,two_exp,20,0.0,0.1,146.0,0.09995263785978915,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.11797119556336147,1.3780280313355544,1.4,20
pade_22,two_exp,20,0.0,0.1,146.0,0.09995263785978915,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.11603694400387121,1.3554339410180511,1.4,20
log_linear,two_exp,20,0.0,0.1,146.0,0.09995263785978915,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.1938786224722474,2.2675117372239355,1.4,20
weniger_d2,two_exp,20,0.0,0.1,146.0,0.09995263785978915,0,0.05121174159446621,0.0,0,0,1.0,0.0,0.85,0.0873231233796976,1.0,1.34,20
anderson_1,two_exp,20,0.0,0.1,146.0,0.09995263785978915,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.17481515905405914,2.042025511964853,1.4,20
constant_assumed,two_exp,20,0.0,0.1,146.0,0.09995263785978915,0,0.05121174159446621,0.0,1,0,1.0,0.0,0.85,0.0873231233796976,1.0,1.34,20
constant_oracle,two_exp,20,0.0,0.1,146.0,0.09995263785978915,0,0.05121174159446621,0.0,1,1,1.0,0.0,1.0,0.036111381785231385,0.42181904176251833,1.4,20
current_value,two_exp,20,0.0,0.02,236.0,0.019780496960211558,0,0.05121174159446621,0.0,0,0,1.0,0.0,0.0,0.3541385346653246,6.347387938024868,1.0,20
richardson_1,two_exp,20,0.0,0.02,236.0,0.019780496960211558,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.21175611342558545,3.804317336411118,1.4,20
richardson_a10,two_exp,20,0.0,0.02,236.0,0.019780496960211558,0,0.05121174159446621,0.0,0,0,1.0,0.0,0.0,0.41513969253134775,7.440739764338443,1.0,20
single_exp_fit,two_exp,20,0.0,0.02,236.0,0.019780496960211558,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.28517792626855787,5.111375238902166,1.4,20
rational_fit,two_exp,20,0.0,0.02,236.0,0.019780496960211558,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.1270424888158168,2.2770409807268663,1.4,20
pade_22,two_exp,20,0.0,0.02,236.0,0.019780496960211558,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.1249054531033818,2.238737919812028,1.4,20
log_linear,two_exp,20,0.0,0.02,236.0,0.019780496960211558,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.19438583201449328,3.492276374154107,1.4,20
weniger_d2,two_exp,20,0.0,0.02,236.0,0.019780496960211558,0,0.05121174159446621,0.0,0,0,1.0,0.0,0.85,0.058358137056623106,1.0,1.34,20
anderson_1,two_exp,20,0.0,0.02,236.0,0.019780496960211558,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.20378014537713365,3.6524453290522434,1.4,20
constant_assumed,two_exp,20,0.0,0.02,236.0,0.019780496960211558,0,0.05121174159446621,0.0,1,0,1.0,0.0,0.85,0.058358137056623106,1.0,1.34,20
constant_oracle,two_exp,20,0.0,0.02,236.0,0.019780496960211558,0,0.05121174159446621,0.0,1,1,1.0,0.0,1.0,0.007146395462156896,0.12808813477391914,1.4,20
current_value,three_exp,20,0.0,0.5,76.0,0.4994055594985231,0,0.05883875511903757,0.0,0,0,1.0,0.0,0.0,0.16634216573954994,1.0,1.0,20
richardson_1,three_exp,20,0.0,0.5,76.0,0.4994055594985231,0,0.05883875511903757,0.0,0,0,1.0,0.0,1.0,0.08529745506405295,0.5127831219752625,1.4,20
richardson_a10,three_exp,20,0.0,0.5,76.0,0.4994055594985231,0,0.05883875511903757,0.0,0,0,1.0,0.0,0.0,0.21957101943932872,1.319996156495412,1.0,20
single_exp_fit,three_exp,20,0.0,0.5,76.0,0.4994055594985231,0,0.05883875511903757,0.0,0,0,1.0,0.0,1.0,0.13459581381608865,0.809150303037607,1.4,20
rational_fit,three_exp,20,0.0,0.5,76.0,0.4994055594985231,0,0.05883875511903757,0.0,0,0,1.0,0.0,1.0,0.04910456796166404,0.29520216803326627,1.4,20
pade_22,three_exp,20,0.0,0.5,76.0,0.4994055594985231,0,0.05883875511903757,0.0,0,0,1.0,0.0,1.0,0.06171584206960623,0.3710174254087671,1.4,20
log_linear,three_exp,20,0.0,0.5,76.0,0.4994055594985231,0,0.05883875511903757,0.0,0,0,1.0,0.0,1.0,0.073365968708474,0.4410545479090774,1.4,20
weniger_d2,three_exp,20,0.0,0.5,76.0,0.4994055594985231,0,0.05883875511903757,0.0,0,0,1.0,0.0,0.0,0.22478586844721868,1.3513462894259591,1.0,20
anderson_1,three_exp,20,0.0,0.5,76.0,0.4994055594985231,0,0.05883875511903757,0.0,0,0,1.0,0.0,1.0,0.051325047091480724,0.308551033126759,1.4,20
constant_assumed,three_exp,20,0.0,0.5,76.0,0.4994055594985231,0,0.05883875511903757,0.0,1,0,1.0,0.0,0.0,0.22478586844721868,1.3513462894259591,1.0,20
constant_oracle,three_exp,20,0.0,0.5,76.0,0.4994055594985231,0,0.05883875511903757,0.0,1,1,1.0,0.0,1.0,0.1659471133281811,0.9976250615133424,1.4,20
current_value,three_exp,20,0.0,0.1,276.0,0.09923912372631925,0,0.05883875511903757,0.0,0,0,1.0,0.0,0.0,0.29931318218939906,3.275741770946807,1.0,20
richardson_1,three_exp,20,0.0,0.1,276.0,0.09923912372631925,0,0.05883875511903757,0.0,0,0,1.0,0.0,1.0,0.14201016068162037,1.5552798818783664,1.4,20
richardson_a10,three_exp,20,0.0,0.1,276.0,0.09923912372631925,0,0.05883875511903757,0.0,0,0,1.0,0.0,0.0,0.3487198757579102,3.816458249596015,1.0,20
single_exp_fit,three_exp,20,0.0,0.1,276.0,0.09923912372631925,0,0.05883875511903757,0.0,0,0,1.0,0.0,1.0,0.2675255828945163,2.927852021610696,1.4,20
rational_fit,three_exp,20,0.0,0.1,276.0,0.09923912372631925,0,0.05883875511903757,0.0,0,0,1.0,0.0,1.0,0.13944943687613148,1.5261617929696651,1.4,20
pade_22,three_exp,20,0.0,0.1,276.0,0.09923912372631925,0,0.05883875511903757,0.0,0,0,1.0,0.0,1.0,0.15405816984430537,1.6860426207198378,1.4,20
log_linear,three_exp,20,0.0,0.1,276.0,0.09923912372631925,0,0.05883875511903757,0.0,0,0,1.0,0.0,1.0,0.12834626746185504,1.405672296186082,1.4,20
weniger_d2,three_exp,20,0.0,0.1,276.0,0.09923912372631925,0,0.05883875511903757,0.0,0,0,1.0,0.0,0.9,0.09181485199736955,1.0,1.36,20
anderson_1,three_exp,20,0.0,0.1,276.0,0.09923912372631925,0,0.05883875511903757,0.0,0,0,1.0,0.0,1.0,0.18429606354132982,2.0169720195664125,1.4,20
constant_assumed,three_exp,20,0.0,0.1,276.0,0.09923912372631925,0,0.05883875511903757,0.0,1,0,1.0,0.0,0.9,0.09181485199736955,1.0,1.36,20
constant_oracle,three_exp,20,0.0,0.1,276.0,0.09923912372631925,0,0.05883875511903757,0.0,1,1,1.0,0.0,1.0,0.03297609687833199,0.36089682785433475,1.4,20
current_value,three_exp,20,0.0,0.02,477.0,0.019876375021595786,0,0.05883875511903757,0.0,0,0,1.0,0.0,0.0,0.3256845727413251,5.024208757617981,1.0,20
richardson_1,three_exp,20,0.0,0.02,477.0,0.019876375021595786,0,0.05883875511903757,0.0,0,0,1.0,0.0,1.0,0.14199387315186873,2.1930778825642454,1.4,20
richardson_a10,three_exp,20,0.0,0.02,477.0,0.019876375021595786,0,0.05883875511903757,0.0,0,0,1.0,0.0,0.0,0.37447923991397414,5.776945038831373,1.0,20
single_exp_fit,three_exp,20,0.0,0.02,477.0,0.019876375021595786,0,0.05883875511903757,0.0,0,0,1.0,0.0,1.0,0.2938969734464413,4.533833775354466,1.4,20
rational_fit,three_exp,20,0.0,0.02,477.0,0.019876375021595786,0,0.05883875511903757,0.0,0,0,1.0,0.0,1.0,0.15835656315587704,2.4429048652918315,1.4,20
pade_22,three_exp,20,0.0,0.02,477.0,0.019876375021595786,0,0.05883875511903757,0.0,0,0,1.0,0.0,1.0,0.17338269608611404,2.674707164551973,1.4,20
log_linear,three_exp,20,0.0,0.02,477.0,0.019876375021595786,0,0.05883875511903757,0.0,0,0,1.0,0.0,1.0,0.1281419408585353,1.9792857197870417,1.4,20
weniger_d2,three_exp,20,0.0,0.02,477.0,0.019876375021595786,0,0.05883875511903757,0.0,0,0,1.0,0.0,0.9,0.0654434614454435,1.0,1.36,20
anderson_1,three_exp,20,0.0,0.02,477.0,0.019876375021595786,0,0.05883875511903757,0.0,0,0,1.0,0.0,1.0,0.21066745409325588,3.2498845704954062,1.4,20
constant_assumed,three_exp,20,0.0,0.02,477.0,0.019876375021595786,0,0.05883875511903757,0.0,1,0,1.0,0.0,0.9,0.0654434614454435,1.0,1.36,20
constant_oracle,three_exp,20,0.0,0.02,477.0,0.019876375021595786,0,0.05883875511903757,0.0,1,1,1.0,0.0,1.0,0.006604706326405918,0.10188822604434326,1.4,20
current_value,four_exp,20,0.0,0.5,88.0,0.4991039322876301,0,0.08090211890347807,0.0,0,0,1.0,0.0,0.0,0.16342397393913666,1.0,1.0,20
richardson_1,four_exp,20,0.0,0.5,88.0,0.4991039322876301,0,0.08090211890347807,0.0,0,0,1.0,0.0,1.0,0.08576512673010296,0.5248013780526726,1.4,20
richardson_a10,four_exp,20,0.0,0.5,88.0,0.4991039322876301,0,0.08090211890347807,0.0,0,0,1.0,0.0,0.0,0.20573330935464484,1.2588930766746949,1.0,20
single_exp_fit,four_exp,20,0.0,0.5,88.0,0.4991039322876301,0,0.08090211890347807,0.0,0,0,1.0,0.0,1.0,0.13700732791259293,0.8383551360929336,1.4,20
rational_fit,four_exp,20,0.0,0.5,88.0,0.4991039322876301,0,0.08090211890347807,0.0,0,0,1.0,0.0,1.0,0.06738835095754947,0.4123529084089379,1.4,20
pade_22,four_exp,20,0.0,0.5,88.0,0.4991039322876301,0,0.08090211890347807,0.0,0,0,1.0,0.0,1.0,0.0146769408139968,0.08980898249031001,1.4,20
log_linear,four_exp,20,0.0,0.5,88.0,0.4991039322876301,0,0.08090211890347807,0.0,0,0,1.0,0.0,1.0,0.07809680331685663,0.4778784986953134,1.4,20
weniger_d2,four_exp,20,0.0,0.5,88.0,0.4991039322876301,0,0.08090211890347807,0.0,0,0,1.0,0.0,0.0,0.24374138493247743,1.4914665153305666,1.0,20
anderson_1,four_exp,20,0.0,0.5,88.0,0.4991039322876301,0,0.08090211890347807,0.0,0,0,1.0,0.0,1.0,0.060462811074548636,0.3699751610315545,1.4,20
constant_assumed,four_exp,20,0.0,0.5,88.0,0.4991039322876301,0,0.08090211890347807,0.0,1,0,1.0,0.0,0.0,0.24374138493247743,1.4914665153305666,1.0,20
constant_oracle,four_exp,20,0.0,0.5,88.0,0.4991039322876301,0,0.08090211890347807,0.0,1,1,1.0,0.0,1.0,0.16283926602899937,0.9964221411580958,1.4,20
current_value,four_exp,20,0.0,0.1,454.0,0.09972739888143181,0,0.08090211890347807,0.0,0,0,1.0,0.0,0.0,0.29372585569548537,2.590209734980125,1.0,20
richardson_1,four_exp,20,0.0,0.1,454.0,0.09972739888143181,0,0.08090211890347807,0.0,0,0,1.0,0.0,1.0,0.13479979083358462,1.1887942860761362,1.4,20
richardson_a10,four_exp,20,0.0,0.1,454.0,0.09972739888143181,0,0.08090211890347807,0.0,0,0,1.0,0.0,0.0,0.3332897097578169,2.9391020029179775,1.0,20
single_exp_fit,four_exp,20,0.0,0.1,454.0,0.09972739888143181,0,0.08090211890347807,0.0,0,0,1.0,0.0,1.0,0.2672966671920074,2.3571446823988187,1.4,20
rational_fit,four_exp,20,0.0,0.1,454.0,0.09972739888143181,0,0.08090211890347807,0.0,0,0,1.0,0.0,1.0,0.16410122468014188,1.4471201108437466,1.4,20
pade_22,four_exp,20,0.0,0.1,454.0,0.09972739888143181,0,0.08090211890347807,0.0,0,0,1.0,0.0,1.0,0.015958564531936233,0.14072996437120464,1.4,20
log_linear,four_exp,20,0.0,0.1,454.0,0.09972739888143181,0,0.08090211890347807,0.0,0,0,1.0,0.0,1.0,0.12532988120053373,1.1052804270033,1.4,20
weniger_d2,four_exp,20,0.0,0.1,454.0,0.09972739888143181,0,0.08090211890347807,0.0,0,0,1.0,0.0,0.85,0.11343950317612868,1.0,1.34,20
anderson_1,four_exp,20,0.0,0.1,454.0,0.09972739888143181,0,0.08090211890347807,0.0,0,0,1.0,0.0,1.0,0.1907646928308974,1.6822508297442922,1.4,20
constant_assumed,four_exp,20,0.0,0.1,454.0,0.09972739888143181,0,0.08090211890347807,0.0,1,0,1.0,0.0,0.85,0.11343950317612868,1.0,1.34,20
constant_oracle,four_exp,20,0.0,0.1,454.0,0.09972739888143181,0,0.08090211890347807,0.0,1,1,1.0,0.0,1.0,0.032537384272650606,0.2869296245448105,1.4,20
current_value,four_exp,20,0.0,0.02,856.0,0.019972735550358382,0,0.08090211890347807,0.0,0,0,1.0,0.0,0.0,0.3197468705564493,3.65988581323699,1.0,20
richardson_1,four_exp,20,0.0,0.02,856.0,0.019972735550358382,0,0.08090211890347807,0.0,0,0,1.0,0.0,1.0,0.1350826533683798,1.546321474882212,1.4,20
richardson_a10,four_exp,20,0.0,0.02,856.0,0.019972735550358382,0,0.08090211890347807,0.0,0,0,1.0,0.0,0.0,0.35900071699547903,4.109193090106256,1.0,20
single_exp_fit,four_exp,20,0.0,0.02,856.0,0.019972735550358382,0,0.08090211890347807,0.0,0,0,1.0,0.0,1.0,0.2933176820529714,3.3573717040535316,1.4,20
rational_fit,four_exp,20,0.0,0.02,856.0,0.019972735550358382,0,0.08090211890347807,0.0,0,0,1.0,0.0,1.0,0.18597839044718273,2.1287453923410133,1.4,20
pade_22,four_exp,20,0.0,0.02,856.0,0.019972735550358382,0,0.08090211890347807,0.0,0,0,1.0,0.0,1.0,0.013007704476473043,0.14888875376127514,1.4,20
log_linear,four_exp,20,0.0,0.02,856.0,0.019972735550358382,0,0.08090211890347807,0.0,0,0,1.0,0.0,1.0,0.125328840888807,1.4346720473330201,1.4,20
weniger_d2,four_exp,20,0.0,0.02,856.0,0.019972735550358382,0,0.08090211890347807,0.0,0,0,1.0,0.0,0.85,0.08741848831516477,1.0,1.34,20
anderson_1,four_exp,20,0.0,0.02,856.0,0.019972735550358382,0,0.08090211890347807,0.0,0,0,1.0,0.0,1.0,0.21678570769186128,2.4813720137846067,1.4,20
constant_assumed,four_exp,20,0.0,0.02,856.0,0.019972735550358382,0,0.08090211890347807,0.0,1,0,1.0,0.0,0.85,0.08741848831516477,1.0,1.34,20
constant_oracle,four_exp,20,0.0,0.02,856.0,0.019972735550358382,0,0.08090211890347807,0.0,1,1,1.0,0.0,1.0,0.0065163694116867,0.07458765091942682,1.4,20
current_value,power_law,20,0.0,0.5,56.0,0.4970969601452245,0,0.018705468148975092,0.0,0,0,1.0,0.0,0.0,0.047755208050025706,1.0,1.0,20
richardson_1,power_law,20,0.0,0.5,56.0,0.4970969601452245,0,0.018705468148975092,0.0,0,0,1.0,0.0,1.0,0.009310828113048644,0.19496989947766818,1.4,20
richardson_a10,power_law,20,0.0,0.5,56.0,0.4970969601452245,0,0.018705468148975092,0.0,0,0,1.0,0.0,0.0,0.06427305006333106,1.3458856675067183,1.0,20
single_exp_fit,power_law,20,0.0,0.5,56.0,0.4970969601452245,0,0.018705468148975092,0.0,0,0,1.0,0.0,0.0,0.05911370733831177,1.2378483887325444,1.0,20
rational_fit,power_law,20,0.0,0.5,56.0,0.4970969601452245,0,0.018705468148975092,0.0,0,0,1.0,0.0,1.0,0.012699798338347015,0.2659353577738246,1.4,20
pade_22,power_law,20,0.0,0.5,56.0,0.4970969601452245,0,0.018705468148975092,0.0,0,0,1.0,0.0,1.0,0.0013045673292940013,0.027317802236928982,1.4,20
