regime,obs_idx,target_g,method,n_f,achieved_g,med_med_error,med_med_skill,n
log_slow,20,0.1,current_value,50000.0,0.2886523358250798,0.18006239905627874,1.737946460774812,5
log_slow,20,0.1,richardson_1,50000.0,0.2886523358250798,0.06938424460647216,0.6769336423715382,5
log_slow,20,0.1,richardson_a10,50000.0,0.2886523358250798,0.19819073005793392,1.9296208573349563,5
log_slow,20,0.1,single_exp_fit,50000.0,0.2886523358250798,0.1889030439912215,1.8342460243850573,5
log_slow,20,0.1,rational_fit,50000.0,0.2886523358250798,0.11601870298826283,1.132188692853728,5
log_slow,20,0.1,pade_22,50000.0,0.2886523358250798,0.10694707755966118,0.950794505053199,5
log_slow,20,0.1,log_linear,50000.0,0.2886523358250798,0.07030277520456982,0.6864745451615412,5
log_slow,20,0.1,weniger_d2,50000.0,0.2886523358250798,0.10275805732146302,1.0,5
log_slow,20,0.1,anderson_1,50000.0,0.2886523358250798,0.184814818079255,1.6157456779307966,5
log_slow,20,0.1,constant_assumed,50000.0,0.2886523358250798,0.10275805732146302,1.0,5
log_slow,20,0.1,constant_oracle,50000.0,0.2886523358250798,0.07393829701292087,0.7198766563413626,5
log_slow,20,0.02,current_value,50000.0,0.2886523358250798,0.18006239905627874,1.737946460774812,5
log_slow,20,0.02,richardson_1,50000.0,0.2886523358250798,0.06938424460647216,0.6769336423715382,5
log_slow,20,0.02,richardson_a10,50000.0,0.2886523358250798,0.19819073005793392,1.9296208573349563,5
log_slow,20,0.02,single_exp_fit,50000.0,0.2886523358250798,0.1889030439912215,1.8342460243850573,5
log_slow,20,0.02,rational_fit,50000.0,0.2886523358250798,0.11601870298826283,1.132188692853728,5
log_slow,20,0.02,pade_22,50000.0,0.2886523358250798,0.10694707755966118,0.950794505053199,5
log_slow,20,0.02,log_linear,50000.0,0.2886523358250798,0.07030277520456982,0.6864745451615412,5
log_slow,20,0.02,weniger_d2,50000.0,0.2886523358250798,0.10275805732146302,1.0,5
log_slow,20,0.02,anderson_1,50000.0,0.2886523358250798,0.184814818079255,1.6157456779307966,5
log_slow,20,0.02,constant_assumed,50000.0,0.2886523358250798,0.10275805732146302,1.0,5
log_slow,20,0.02,constant_oracle,50000.0,0.2886523358250798,0.07393829701292087,0.7198766563413626,5
log_oscillatory,20,0.1,current_value,50000.0,0.232935711783342,0.2020290717944564,1.7230922836312543,5
log_oscillatory,20,0.1,richardson_1,50000.0,0.232935711783342,0.059075374485563784,0.4958740719883421,5
log_oscillatory,20,0.1,richardson_a10,50000.0,0.232935711783342,0.258468151529144,2.194594826717993,5
log_oscillatory,20,0.1,single_exp_fit,50000.0,0.232935711783342,0.18782274728822446,1.5979840496989606,5
log_oscillatory,20,0.1,rational_fit,50000.0,0.232935711783342,0.08076199555856987,0.6871135907765618,5
log_oscillatory,20,0.1,pade_22,50000.0,0.232935711783342,0.14079084041722653,1.4402117712744125,5
log_oscillatory,20,0.1,log_linear,50000.0,0.232935711783342,0.06644078228580239,0.560528751184689,5
log_oscillatory,20,0.1,weniger_d2,50000.0,0.232935711783342,0.11757721977593429,1.0,5
log_oscillatory,20,0.1,anderson_1,50000.0,0.232935711783342,0.21387194164398238,1.8644828279493617,5
log_oscillatory,20,0.1,constant_assumed,50000.0,0.232935711783342,0.11757721977593429,1.0,5
log_oscillatory,20,0.1,constant_oracle,50000.0,0.232935711783342,0.06135051046213941,0.5219669954272741,5
log_oscillatory,20,0.02,current_value,50000.0,0.232935711783342,0.2020290717944564,1.7230922836312543,5
log_oscillatory,20,0.02,richardson_1,50000.0,0.232935711783342,0.059075374485563784,0.4958740719883421,5
log_oscillatory,20,0.02,richardson_a10,50000.0,0.232935711783342,0.258468151529144,2.194594826717993,5
log_oscillatory,20,0.02,single_exp_fit,50000.0,0.232935711783342,0.18782274728822446,1.5979840496989606,5
log_oscillatory,20,0.02,rational_fit,50000.0,0.232935711783342,0.08076199555856987,0.6871135907765618,5
log_oscillatory,20,0.02,pade_22,50000.0,0.232935711783342,0.14079084041722653,1.4402117712744125,5
log_oscillatory,20,0.02,log_linear,50000.0,0.232935711783342,0.06644078228580239,0.560528751184689,5
log_oscillatory,20,0.02,weniger_d2,50000.0,0.232935711783342,0.11757721977593429,1.0,5
log_oscillatory,20,0.02,anderson_1,50000.0,0.232935711783342,0.21387194164398238,1.8644828279493617,5
log_oscillatory,20,0.02,constant_assumed,50000.0,0.232935711783342,0.11757721977593429,1.0,5
log_oscillatory,20,0.02,constant_oracle,50000.0,0.232935711783342,0.06135051046213941,0.5219669954272741,5
broken_power_law,20,0.1,current_value,50000.0,0.20436470335589355,0.04109667284471599,1.2795730938248249,5
broken_power_law,20,0.1,richardson_1,50000.0,0.20436470335589355,0.04415715245950273,1.203723159780066,5
broken_power_law,20,0.1,richardson_a10,50000.0,0.20436470335589355,0.04049921276418546,1.2243493513076804,5
broken_power_law,20,0.1,single_exp_fit,50000.0,0.20436470335589355,0.0531406807143244,1.6115469161502218,5
broken_power_law,20,0.1,rational_fit,50000.0,0.20436470335589355,0.003905903904219481,0.10225243268507198,5
broken_power_law,20,0.1,pade_22,50000.0,0.20436470335589355,0.008218126552363746,0.20696833471117826,5
broken_power_law,20,0.1,log_linear,50000.0,0.20436470335589355,0.048219681614049305,1.2075081623542918,5
