selector,regime,obs_idx,noise,target_g,n_f,achieved_g,chosen_method,achieved_stability
fixed_current,broken_power_law,120,0.0,0.02,50000.0,0.089850949747117,current_value,1.0
fixed_current,broken_power_law,120,0.003,0.02,50000.0,0.089850949747117,current_value,1.0
fixed_current,broken_power_law,120,0.005,0.02,50000.0,0.089850949747117,current_value,1.0
fixed_current,broken_power_law,120,0.01,0.02,50000.0,0.089850949747117,current_value,1.0
fixed_current,broken_power_law,120,0.02,0.02,50000.0,0.089850949747117,current_value,1.0
fixed_current,broken_power_law,130,0.0,0.02,50000.0,0.092750667161584,current_value,1.0
fixed_current,broken_power_law,130,0.003,0.02,50000.0,0.092750667161584,current_value,1.0
fixed_current,broken_power_law,130,0.005,0.02,50000.0,0.092750667161584,current_value,1.0
fixed_current,broken_power_law,130,0.01,0.02,50000.0,0.092750667161584,current_value,1.0
fixed_current,broken_power_law,130,0.02,0.02,50000.0,0.092750667161584,current_value,1.0
fixed_current,broken_power_law,140,0.0,0.02,50000.0,0.0955204080436849,current_value,1.0
fixed_current,broken_power_law,140,0.003,0.02,50000.0,0.0955204080436849,current_value,1.0
fixed_current,broken_power_law,140,0.005,0.02,50000.0,0.0955204080436849,current_value,1.0
fixed_current,broken_power_law,140,0.01,0.02,50000.0,0.0955204080436849,current_value,1.0
fixed_current,broken_power_law,140,0.02,0.02,50000.0,0.0955204080436849,current_value,1.0
fixed_current,damped_osc_pow,120,0.0,0.02,50000.0,0.0210220445446958,current_value,1.0
fixed_current,damped_osc_pow,120,0.003,0.02,50000.0,0.0210220445446958,current_value,1.0
fixed_current,damped_osc_pow,120,0.005,0.02,50000.0,0.0210220445446958,current_value,1.0
fixed_current,damped_osc_pow,120,0.01,0.02,50000.0,0.0210220445446958,current_value,1.0
fixed_current,damped_osc_pow,120,0.02,0.02,50000.0,0.0210220445446958,current_value,1.0
fixed_current,damped_osc_pow,130,0.0,0.02,50000.0,0.0221499430699973,current_value,1.0
fixed_current,damped_osc_pow,130,0.003,0.02,50000.0,0.0221499430699973,current_value,1.0
fixed_current,damped_osc_pow,130,0.005,0.02,50000.0,0.0221499430699973,current_value,1.0
fixed_current,damped_osc_pow,130,0.01,0.02,50000.0,0.0221499430699973,current_value,1.0
fixed_current,damped_osc_pow,130,0.02,0.02,50000.0,0.0221499430699973,current_value,1.0
fixed_current,damped_osc_pow,140,0.0,0.02,50000.0,0.0232494544447517,current_value,1.0
