assumed_mode,method,target_g,noise,regime_set,n_capped_excluded,valid_rate,cat_rate,med_error,med_skill,n,med_skill_vs_assumed,win_rate_vs_assumed,med_skill_vs_last,win_rate_vs_last,med_skill_vs_wmean,win_rate_vs_wmean,med_skill_vs_wmin,win_rate_vs_wmin
winmin,constant_assumed,0.5,0.0,holdout,0,1.0,0.0,0.02250453546545013,1.0,120,1.0,0.0,0.6916,0.95,0.2742,0.9917,0.6916,0.95
winmin,richardson_1,0.1,0.0,core,40,1.0,0.1,0.02973406068999663,0.46750959330417996,320,0.3772,0.8063,0.3709,0.8063,0.2481,0.8438,0.314,0.8438
winmin,richardson_1,0.1,0.0,holdout,1,1.0,0.0,0.011298596730571799,0.28905353484230056,119,0.2891,0.8151,0.1652,0.8487,0.1073,1.0,0.1652,0.8487
winmin,richardson_2,0.1,0.0,core,40,0.9781,0.1031,0.026282133032201616,0.4451804959759186,320,0.3766,0.7906,0.3662,0.7656,0.2159,0.7937,0.3236,0.825
winmin,richardson_2,0.1,0.0,holdout,1,0.958,0.042,0.010616611550002923,0.20431860797081808,119,0.2043,0.8067,0.1481,0.8235,0.0825,0.958,0.1481,0.8235
winmin,richardson_3,0.1,0.0,core,40,0.9719,0.1156,0.019466046337092466,0.44517188414528447,320,0.3696,0.7969,0.3576,0.7688,0.2134,0.7719,0.3236,0.8187
winmin,richardson_3,0.1,0.0,holdout,1,0.958,0.042,0.008253836860824416,0.20797029773730613,119,0.208,0.8235,0.1453,0.8403,0.0774,0.958,0.1453,0.8403
winmin,single_exp_fit,0.1,0.0,core,40,1.0,0.0094,0.03654941391188747,0.8255031206855792,320,0.774,0.7656,0.6445,0.9625,0.467,0.8969,0.6644,0.9375
winmin,single_exp_fit,0.1,0.0,holdout,1,1.0,0.0,0.030391629684291183,0.8065087297797948,119,0.7854,0.6807,0.5748,0.9916,0.306,1.0,0.5748,0.9916
winmin,double_exp_fit,0.1,0.0,core,40,0.9875,0.0187,0.03964092389882341,0.7794193042428665,320,0.7354,0.7562,0.6154,0.9344,0.467,0.8938,0.6445,0.9062
winmin,double_exp_fit,0.1,0.0,holdout,1,0.9916,0.0084,0.022208379854751305,0.658150206775254,119,0.6567,0.7227,0.5748,0.9832,0.3012,0.9916,0.5748,0.9832
winmin,rational_fit,0.1,0.0,core,40,1.0,0.0125,0.029994636827307186,0.38899782432366314,320,0.2941,0.8,0.2558,0.8625,0.1853,0.8281,0.2501,0.8438
winmin,rational_fit,0.1,0.0,holdout,1,1.0,0.0,0.00527109528573988,0.28796502211061603,119,0.288,0.8067,0.2079,0.8655,0.1235,1.0,0.2079,0.8655
winmin,log_fit,0.1,0.0,core,40,1.0,0.0094,0.06820258292645567,1.0013154942030014,320,0.8478,0.5687,0.6478,0.6781,0.5367,0.9062,0.6439,0.6625
winmin,log_fit,0.1,0.0,holdout,1,1.0,0.0,0.0505804224830419,1.3531999681493858,119,1.3532,0.437,0.9447,0.6218,0.5742,0.9916,0.9447,0.6218
winmin,log_linear,0.1,0.0,core,40,0.9187,0.0938,0.0793246537006219,1.0137197424421522,320,1.0082,0.1531,0.8584,0.8656,0.573,0.8469,0.8432,0.9187
winmin,log_linear,0.1,0.0,holdout,1,1.0,0.0,0.05921097126853678,1.0203259046296167,119,1.0203,0.0588,0.8309,0.8571,0.4205,1.0,0.8309,0.8571
winmin,stability_weighted,0.1,0.0,core,40,1.0,0.0219,0.02383448649333563,0.44845654636988574,320,0.3936,0.725,0.3615,0.8187,0.2564,0.9187,0.3377,0.8
winmin,stability_weighted,0.1,0.0,holdout,1,1.0,0.0,0.013441942097234538,0.2507071849700246,119,0.2496,0.8908,0.2109,0.9916,0.1136,1.0,0.2109,0.9916
