assumed_mode,method,target_g,regime_set,n_capped_excluded,valid_rate,cat_rate,med_error,med_skill,n,med_skill_vs_assumed,win_rate_vs_assumed,med_skill_vs_last,win_rate_vs_last,med_skill_vs_wmean,win_rate_vs_wmean,med_skill_vs_wmin,win_rate_vs_wmin
zero,double_exp_fit,0.1,core,120,0.9833,0.0312,0.026511585234769788,0.9296120165457428,960,0.3994,0.7615,0.4866,0.8802,0.3628,0.8979,0.4767,0.7865
zero,double_exp_fit,0.1,holdout,3,1.0,0.0196,0.02546222371351766,0.8818289356776979,357,0.5156,0.7703,0.5329,0.8796,0.3236,0.972,0.617,0.7843
zero,rational_fit,0.1,core,120,1.0,0.024,0.028951976807075792,0.93295933794311,960,0.3356,0.7417,0.3345,0.851,0.21,0.8313,0.3193,0.7802
zero,rational_fit,0.1,holdout,3,1.0,0.0084,0.011415434673739858,0.4259784112044369,357,0.2044,0.7927,0.2196,0.8179,0.1429,0.9804,0.2419,0.7647
zero,log_fit,0.1,core,120,1.0,0.0271,0.06840894978271762,2.091777580946494,960,0.8698,0.5229,0.6613,0.675,0.5391,0.9104,0.7848,0.5896
zero,log_fit,0.1,holdout,3,1.0,0.0028,0.05038851417444501,1.4551666655921593,357,0.5659,0.5574,0.8501,0.5966,0.5426,0.9888,0.993,0.5042
zero,log_linear,0.1,core,120,0.9323,0.1385,0.023976817389123828,0.6847420518683197,960,0.3324,0.7729,0.321,0.7469,0.2073,0.7844,0.3243,0.7562
zero,log_linear,0.1,holdout,3,0.9748,0.0364,0.02658614258566095,0.6897164506704474,357,0.2779,0.8263,0.3993,0.8011,0.1898,0.8683,0.5323,0.7311
zero,stability_weighted,0.1,core,120,1.0,0.025,0.04539420844156003,1.6647836912967993,960,0.7324,0.5708,0.8514,0.6583,0.5652,0.8646,0.9997,0.5
zero,stability_weighted,0.1,holdout,3,1.0,0.0168,0.030497014180728553,1.0828820761125502,357,0.4743,0.6639,0.7123,0.7535,0.3362,0.9636,0.8725,0.5714
zero,median_ensemble,0.1,core,120,1.0,0.0146,0.04567272967426278,1.5186176991275553,960,0.6837,0.5875,0.9318,0.6781,0.6037,0.8823,1.0148,0.4469
zero,median_ensemble,0.1,holdout,3,1.0,0.0084,0.02618840389853533,1.1413516141477371,357,0.4231,0.6723,0.779,0.7787,0.3545,0.9916,1.0227,0.4538
zero,constant_assumed,0.1,core,120,1.0,0.1854,0.05928920012004124,1.2677575594704558,960,1.0,0.0,0.8012,0.5437,0.5416,0.6271,1.0781,0.4562
zero,constant_assumed,0.1,holdout,3,1.0,0.1457,0.06244383630449851,1.2430469139685905,357,1.0,0.0,0.9669,0.507,0.5255,0.6359,1.1644,0.4594
half,richardson_1,0.5,core,0,1.0,0.0407,0.017347078726341503,0.5229811446017312,1080,0.1962,0.8491,0.3764,0.7741,0.2257,0.8657,0.4346,0.7454
half,richardson_1,0.5,holdout,0,1.0,0.0083,0.010435953885878042,0.33967413828521065,360,0.1357,0.8583,0.2791,0.7861,0.1434,0.9972,0.3119,0.725
half,richardson_2,0.5,core,0,0.9926,0.0861,0.015612143691747401,0.5473216836036446,1080,0.196,0.8546,0.3916,0.7778,0.2169,0.8343,0.4103,0.7491
half,richardson_2,0.5,holdout,0,0.9889,0.0194,0.008930002691601723,0.3048173102048101,360,0.1362,0.8528,0.2561,0.775,0.1141,0.9778,0.2932,0.725
half,richardson_3,0.5,core,0,0.9815,0.0778,0.01606000937836874,0.6030180837357972,1080,0.224,0.8593,0.3893,0.7694,0.216,0.813,0.4281,0.738
half,richardson_3,0.5,holdout,0,0.9944,0.0222,0.00931118972272546,0.28910217710553054,360,0.1342,0.8528,0.2397,0.7611,0.1104,0.9722,0.2748,0.7111
half,single_exp_fit,0.5,core,0,1.0,0.0157,0.021389609662386365,0.7869158466148006,1080,0.2782,0.9648,0.4673,0.863,0.3205,0.8657,0.4752,0.7759
half,single_exp_fit,0.5,holdout,0,1.0,0.025,0.014626845008804321,0.6603221959415572,360,0.2642,0.9833,0.5525,0.8778,0.1885,0.9806,0.6228,0.775
half,double_exp_fit,0.5,core,0,0.9926,0.0241,0.017308581012051148,0.6300723206051989,1080,0.193,0.9648,0.3773,0.85,0.3073,0.8806,0.4106,0.7833
half,double_exp_fit,0.5,holdout,0,0.9972,0.0306,0.012609342183727723,0.6431910053337534,360,0.187,0.9806,0.4773,0.8722,0.1793,0.9778,0.5634,0.7806
half,rational_fit,0.5,core,0,1.0,0.0222,0.01667450203803217,0.5117942962170458,1080,0.1907,0.9102,0.3184,0.8352,0.2209,0.8556,0.3655,0.7907
half,rational_fit,0.5,holdout,0,1.0,0.0139,0.006428675747960418,0.30837419509638997,360,0.099,0.8667,0.203,0.7917,0.0985,0.9889,0.2721,0.7389
