cat_mult,future_idx,method,stability,valid_rate,cat_rate,beats_rate
2.0,5000,richardson_3,1.0135,0.9898,0.1509,0.8139
2.0,5000,richardson_a05,0.7404,1.0,0.2593,0.6472
2.0,5000,richardson_a10,1.1241,1.0,0.0944,0.7824
2.0,5000,richardson_a20,1.243,1.0,0.0241,0.7278
2.0,5000,shanks_1,1.1298,0.9991,0.05,0.5769
2.0,5000,shanks_2,1.0676,0.9991,0.0648,0.4954
2.0,5000,shanks_3,1.0515,1.0,0.075,0.5037
2.0,5000,shanks_4,1.0252,0.9796,0.0722,0.475
2.0,5000,single_exp_fit,1.2826,1.0,0.0324,0.8685
2.0,5000,stability_weighted,1.2174,1.0,0.0454,0.7704
2.0,5000,weniger_d1,1.0278,0.9667,0.1204,0.7546
2.0,5000,weniger_d2,1.0191,0.9639,0.1231,0.7537
2.0,5000,wynn_eps_1,1.0659,0.9778,0.0713,0.5769
2.0,5000,wynn_eps_2,0.998,0.9583,0.0861,0.5296
2.0,5000,wynn_eps_3,0.9856,0.9574,0.0963,0.5519
2.0,5000,wynn_rho_1,1.0306,0.9769,0.0685,0.4769
2.0,5000,wynn_rho_2,0.9391,0.9731,0.112,0.475
2.0,5000,wynn_rho_3,0.8476,0.9731,0.1574,0.4731
5.0,1000,anderson_1,1.1993,1.0,0.0157,0.5769
5.0,1000,anderson_2,1.2096,1.0,0.012,0.5843
5.0,1000,anderson_3,1.2119,1.0,0.012,0.5898
5.0,1000,best_shanks_wynn,1.1974,1.0,0.0167,0.5769
5.0,1000,brezinski_theta1,1.1344,0.9981,0.0398,0.5398
5.0,1000,brezinski_theta2,0.9144,0.9722,0.1185,0.4481
5.0,1000,current_value,1.0,1.0,0.0,0.0
5.0,1000,double_exp_fit,1.2241,0.9704,0.0472,0.8704
5.0,1000,geom_avg_diff,-0.1398,0.6065,0.4519,0.3935
5.0,1000,levin_t1,1.1307,0.9778,0.0389,0.5769
5.0,1000,levin_t2,1.0974,0.9759,0.05,0.5537
5.0,1000,levin_u1,1.0176,0.9787,0.0769,0.4815
