L_inf_assumed,regime,future_idx,noise,precision,mean_gain,n
0.001,heavy_noise_plat,5000,0.02,0.7,0.003481,20
0.001,broken_power_law,5000,0.02,1.0,0.576974,20
0.005,single_exp,1000,0.0,,0.0,20
0.005,two_exp,1000,0.0,,0.0,20
0.005,three_exp,1000,0.0,,0.0,20
0.005,four_exp,1000,0.0,,0.0,20
0.005,power_law,1000,0.0,,0.0,20
0.005,rational_decay,1000,0.0,,0.0,20
0.005,mixed_pow_rat,1000,0.0,,0.0,20
0.005,multiphase,1000,0.0,,0.0,20
0.005,osc_exp,1000,0.0,,0.0,20
0.005,damped_osc_pow,1000,0.0,,0.0,20
0.005,log_slow,1000,0.0,,0.0,20
0.005,delayed_plateau,1000,0.0,,0.0,20
0.005,staircase,1000,0.0,,0.0,20
0.005,noisy_plateau,1000,0.0,0.25,-0.00094,20
0.005,slow_osc_power,1000,0.0,,0.0,20
0.005,log_oscillatory,1000,0.0,0.0,-0.048352,20
0.005,heavy_noise_plat,1000,0.0,0.35,-0.000816,20
0.005,broken_power_law,1000,0.0,1.0,0.387459,20
0.005,single_exp,1000,0.005,,0.0,20
0.005,two_exp,1000,0.005,,0.0,20
0.005,three_exp,1000,0.005,,0.0,20
0.005,four_exp,1000,0.005,,0.0,20
0.005,power_law,1000,0.005,,0.0,20
0.005,rational_decay,1000,0.005,,0.0,20
0.005,mixed_pow_rat,1000,0.005,,0.0,20
0.005,multiphase,1000,0.005,,0.0,20
0.005,osc_exp,1000,0.005,,0.0,20
0.005,damped_osc_pow,1000,0.005,,0.0,20
0.005,log_slow,1000,0.005,,0.0,20
0.005,delayed_plateau,1000,0.005,,0.0,20
0.005,staircase,1000,0.005,,0.0,20
0.005,noisy_plateau,1000,0.005,0.15,-0.001306,20
0.005,slow_osc_power,1000,0.005,,0.0,20
0.005,log_oscillatory,1000,0.005,0.0,-0.049068,20
0.005,heavy_noise_plat,1000,0.005,0.3,-0.00055,20
0.005,broken_power_law,1000,0.005,1.0,0.387496,20
0.005,single_exp,1000,0.02,,0.0,20
0.005,two_exp,1000,0.02,,0.0,20
0.005,three_exp,1000,0.02,,0.0,20
0.005,four_exp,1000,0.02,,0.0,20
0.005,power_law,1000,0.02,0.5,0.001447,20
0.005,rational_decay,1000,0.02,,0.0,20
0.005,mixed_pow_rat,1000,0.02,,0.0,20
0.005,multiphase,1000,0.02,,0.0,20
0.005,osc_exp,1000,0.02,,0.0,20
0.005,damped_osc_pow,1000,0.02,0.25,-0.004034,20
0.005,log_slow,1000,0.02,0.4444,-0.013551,20
0.005,delayed_plateau,1000,0.02,,0.0,20
0.005,staircase,1000,0.02,,0.0,20
0.005,noisy_plateau,1000,0.02,0.2,-0.001359,20
0.005,slow_osc_power,1000,0.02,0.0714,-0.000589,20
0.005,log_oscillatory,1000,0.02,0.0,-0.038014,20
0.005,heavy_noise_plat,1000,0.02,0.7,0.002374,20
0.005,broken_power_law,1000,0.02,1.0,0.392511,20
0.005,single_exp,5000,0.0,,0.0,20
0.005,two_exp,5000,0.0,,0.0,20
0.005,three_exp,5000,0.0,,0.0,20
0.005,four_exp,5000,0.0,,0.0,20
0.005,power_law,5000,0.0,,0.0,20
0.005,rational_decay,5000,0.0,,0.0,20
0.005,mixed_pow_rat,5000,0.0,,0.0,20
0.005,multiphase,5000,0.0,,0.0,20
0.005,osc_exp,5000,0.0,,0.0,20
0.005,damped_osc_pow,5000,0.0,,0.0,20
0.005,log_slow,5000,0.0,,0.0,20
0.005,delayed_plateau,5000,0.0,,0.0,20
0.005,staircase,5000,0.0,,0.0,20
0.005,noisy_plateau,5000,0.0,0.15,-0.000953,20
0.005,slow_osc_power,5000,0.0,,0.0,20
0.005,log_oscillatory,5000,0.0,0.0,-0.081057,20
0.005,heavy_noise_plat,5000,0.0,0.4,-0.000717,20
0.005,broken_power_law,5000,0.0,1.0,0.570121,20
0.005,single_exp,5000,0.005,,0.0,20
0.005,two_exp,5000,0.005,,0.0,20
0.005,three_exp,5000,0.005,,0.0,20
0.005,four_exp,5000,0.005,,0.0,20
0.005,power_law,5000,0.005,,0.0,20
0.005,rational_decay,5000,0.005,,0.0,20
0.005,mixed_pow_rat,5000,0.005,,0.0,20
0.005,multiphase,5000,0.005,,0.0,20
0.005,osc_exp,5000,0.005,,0.0,20
0.005,damped_osc_pow,5000,0.005,,0.0,20
0.005,log_slow,5000,0.005,,0.0,20
0.005,delayed_plateau,5000,0.005,,0.0,20
0.005,staircase,5000,0.005,,0.0,20
0.005,noisy_plateau,5000,0.005,0.1,-0.001227,20
0.005,slow_osc_power,5000,0.005,,0.0,20
0.005,log_oscillatory,5000,0.005,0.0,-0.080612,20
0.005,heavy_noise_plat,5000,0.005,0.3,-2.4e-05,20
0.005,broken_power_law,5000,0.005,1.0,0.570165,20
0.005,single_exp,5000,0.02,,0.0,20
0.005,two_exp,5000,0.02,,0.0,20
0.005,three_exp,5000,0.02,,0.0,20
0.005,four_exp,5000,0.02,,0.0,20
0.005,power_law,5000,0.02,0.55,0.003009,20
0.005,rational_decay,5000,0.02,,0.0,20
0.005,mixed_pow_rat,5000,0.02,,0.0,20
0.005,multiphase,5000,0.02,,0.0,20
0.005,osc_exp,5000,0.02,,0.0,20
0.005,damped_osc_pow,5000,0.02,0.25,-0.003147,20
0.005,log_slow,5000,0.02,0.3889,-0.012893,20
0.005,delayed_plateau,5000,0.02,,0.0,20
0.005,staircase,5000,0.02,,0.0,20
0.005,noisy_plateau,5000,0.02,0.2,-0.001284,20
0.005,slow_osc_power,5000,0.02,0.0714,0.000219,20
0.005,log_oscillatory,5000,0.02,0.0,-0.08526,20
0.005,heavy_noise_plat,5000,0.02,0.7,0.003481,20
0.005,broken_power_law,5000,0.02,1.0,0.576974,20
0.01,single_exp,1000,0.0,,0.0,20
0.01,two_exp,1000,0.0,,0.0,20
0.01,three_exp,1000,0.0,,0.0,20
0.01,four_exp,1000,0.0,,0.0,20
0.01,power_law,1000,0.0,,0.0,20
0.01,rational_decay,1000,0.0,,0.0,20
0.01,mixed_pow_rat,1000,0.0,,0.0,20
0.01,multiphase,1000,0.0,,0.0,20
0.01,osc_exp,1000,0.0,,0.0,20
0.01,damped_osc_pow,1000,0.0,,0.0,20
0.01,log_slow,1000,0.0,,0.0,20
0.01,delayed_plateau,1000,0.0,,0.0,20
0.01,staircase,1000,0.0,,0.0,20
0.01,noisy_plateau,1000,0.0,0.25,-0.00094,20
0.01,slow_osc_power,1000,0.0,,0.0,20
0.01,log_oscillatory,1000,0.0,0.0,-0.048352,20
0.01,heavy_noise_plat,1000,0.0,0.35,-0.000815,20
0.01,broken_power_law,1000,0.0,1.0,0.387459,20
0.01,single_exp,1000,0.005,,0.0,20
0.01,two_exp,1000,0.005,,0.0,20
0.01,three_exp,1000,0.005,,0.0,20
0.01,four_exp,1000,0.005,,0.0,20
0.01,power_law,1000,0.005,,0.0,20
0.01,rational_decay,1000,0.005,,0.0,20
0.01,mixed_pow_rat,1000,0.005,,0.0,20
0.01,multiphase,1000,0.005,,0.0,20
0.01,osc_exp,1000,0.005,,0.0,20
0.01,damped_osc_pow,1000,0.005,,0.0,20
0.01,log_slow,1000,0.005,,0.0,20
0.01,delayed_plateau,1000,0.005,,0.0,20
0.01,staircase,1000,0.005,,0.0,20
0.01,noisy_plateau,1000,0.005,0.15,-0.001305,20
0.01,slow_osc_power,1000,0.005,,0.0,20
0.01,log_oscillatory,1000,0.005,0.0,-0.049068,20
0.01,heavy_noise_plat,1000,0.005,0.3,-0.000551,20
0.01,broken_power_law,1000,0.005,1.0,0.387496,20
0.01,single_exp,1000,0.02,,0.0,20
0.01,two_exp,1000,0.02,,0.0,20
0.01,three_exp,1000,0.02,,0.0,20
0.01,four_exp,1000,0.02,,0.0,20
0.01,power_law,1000,0.02,0.5,0.001447,20
0.01,rational_decay,1000,0.02,,0.0,20
0.01,mixed_pow_rat,1000,0.02,,0.0,20
0.01,multiphase,1000,0.02,,0.0,20
0.01,osc_exp,1000,0.02,,0.0,20
0.01,damped_osc_pow,1000,0.02,0.25,-0.004034,20
0.01,log_slow,1000,0.02,0.4444,-0.013557,20
0.01,delayed_plateau,1000,0.02,,0.0,20
0.01,staircase,1000,0.02,,0.0,20
0.01,noisy_plateau,1000,0.02,0.2,-0.001359,20
0.01,slow_osc_power,1000,0.02,0.0714,-0.000589,20
0.01,log_oscillatory,1000,0.02,0.0,-0.038012,20
0.01,heavy_noise_plat,1000,0.02,0.7,0.002374,20
0.01,broken_power_law,1000,0.02,1.0,0.392511,20
0.01,single_exp,5000,0.0,,0.0,20
0.01,two_exp,5000,0.0,,0.0,20
0.01,three_exp,5000,0.0,,0.0,20
0.01,four_exp,5000,0.0,,0.0,20
0.01,power_law,5000,0.0,,0.0,20
0.01,rational_decay,5000,0.0,,0.0,20
0.01,mixed_pow_rat,5000,0.0,,0.0,20
0.01,multiphase,5000,0.0,,0.0,20
0.01,osc_exp,5000,0.0,,0.0,20
0.01,damped_osc_pow,5000,0.0,,0.0,20
0.01,log_slow,5000,0.0,,0.0,20
0.01,delayed_plateau,5000,0.0,,0.0,20
0.01,staircase,5000,0.0,,0.0,20
0.01,noisy_plateau,5000,0.0,0.15,-0.000954,20
0.01,slow_osc_power,5000,0.0,,0.0,20
0.01,log_oscillatory,5000,0.0,0.0,-0.081057,20
