dataset,obs_depth,target_round,selected_method,cascade_pred,true_val,cascade_err,richardson_err,rational_err,current_err,ref_error,ref_best_method,cascade_skill,improvement,perturb_iqr,L_hat,assumed_mode,nearest_regime,log_log_slope,curvature_idx,oscillation_idx,noise_var,richardson_r2,diff_ratio_cv,phase2_features_path,phase2_features_rows,git_head
covertype,30,300,richardson_1,0.49951159941626466,0.4083646501671605,0.09114694924910416,0.09114694924910416,0.02460847243906139,0.2710953633742178,0.2710953633742178,last_value,0.3362172931127769,0.6637827068872231,0.005396591991827349,0.0,zero,rational_decay,-0.1716788339162152,0.004529597182814112,0.0,5.612171382483003e-06,0.9353328298988907,0.007664228744148893,results\phase2\phase2_features.csv,23400,0375f24
covertype,30,400,richardson_1,0.47716241215674166,0.3748681323241892,0.10229427983255246,0.10229427983255246,0.04759972019498754,0.3045918812171891,0.3045918812171891,last_value,0.3358404676571519,0.6641595323428481,0.005574015351366257,0.0,zero,rational_decay,-0.1716788339162152,0.004529597182814112,0.0,5.612171382483003e-06,0.9353328298988907,0.007664228744148893,results\phase2\phase2_features.csv,23400,0375f24
covertype,30,500,richardson_1,0.4605179914198535,0.3491575180685675,0.11136047335128602,0.11136047335128602,0.06686290990909682,0.3303024954728108,0.3303024954728108,last_value,0.337146933122256,0.662853066877744,0.0056932523913278965,0.0,zero,rational_decay,-0.1716788339162152,0.004529597182814112,0.0,5.612171382483003e-06,0.9353328298988907,0.007664228744148893,results\phase2\phase2_features.csv,23400,0375f24
covertype,60,300,richardson_1,0.43901062314624606,0.4083646501671605,0.030645972979085556,0.030645972979085556,0.012639977904831123,0.1529866545800166,0.1529866545800166,last_value,0.20031794971408304,0.799682050285917,0.00027832392258464456,0.0,zero,rational_decay,-0.2094524480866777,0.002287144713414316,0.0,3.335419439477786e-06,0.9416002809465122,0.00788135431026996,results\phase2\phase2_features.csv,23400,0375f24
covertype,60,400,richardson_1,0.4156055464676922,0.3748681323241892,0.040737414143503015,0.040737414143503015,0.03501063588105302,0.1864831724229879,0.1864831724229879,last_value,0.2184508854831198,0.7815491145168801,0.0002296221498207518,0.0,zero,rational_decay,-0.2094524480866777,0.002287144713414316,0.0,3.335419439477786e-06,0.9416002809465122,0.00788135431026996,results\phase2\phase2_features.csv,23400,0375f24
covertype,60,500,richardson_1,0.3983139450915588,0.3491575180685675,0.049156427022991334,0.049156427022991334,0.05388568664201798,0.2121937866786096,0.2121937866786096,last_value,0.23165818279799139,0.7683418172020087,0.0001948963530415404,0.0,zero,rational_decay,-0.2094524480866777,0.002287144713414316,0.0,3.335419439477786e-06,0.9416002809465122,0.00788135431026996,results\phase2\phase2_features.csv,23400,0375f24
covertype,90,300,richardson_1,0.4148075368754407,0.4083646501671605,0.006442886708280193,0.006442886708280193,0.020086074350877337,0.10410136352201038,0.10410136352201038,last_value,0.061890512192167006,0.938109487807833,0.009969852296520143,0.0,zero,rational_decay,-0.25954530491359046,0.0021744806200564098,0.0,2.546035356095997e-07,0.9975731572214351,0.0019381573949349689,results\phase2\phase2_features.csv,23400,0375f24
covertype,90,400,richardson_1,0.4001330462408061,0.3748681323241892,0.025264913916616893,0.025264913916616893,0.0436241728058967,0.1375978813649817,0.1375978813649817,last_value,0.1836141201157095,0.8163858798842905,0.012554569414863326,0.0,zero,rational_decay,-0.25954530491359046,0.0021744806200564098,0.0,2.546035356095997e-07,0.9975731572214351,0.0019381573949349689,results\phase2\phase2_features.csv,23400,0375f24
covertype,90,500,richardson_1,0.3903298187101933,0.3491575180685675,0.0411723006416258,0.0411723006416258,0.06325295332522868,0.1633084956206034,0.1633084956206034,last_value,0.2521136483755068,0.7478863516244931,0.014564812730169352,0.0,zero,rational_decay,-0.25954530491359046,0.0021744806200564098,0.0,2.546035356095997e-07,0.9975731572214351,0.0019381573949349689,results\phase2\phase2_features.csv,23400,0375f24
covertype,120,300,richardson_1,0.4257714785139964,0.4083646501671605,0.01740682834683588,0.01740682834683588,0.021181431517075522,0.07640988966499762,0.07640988966499762,last_value,0.22780857848574698,0.772191421514253,0.02065579385589489,0.0,zero,rational_decay,-0.21031410951414897,0.001497005345596187,0.0,1.9545004155218012e-08,0.9981370280154871,0.0007245041803542864,results\phase2\phase2_features.csv,23400,0375f24
