round,covertype,higgs,adult,jannis,miniboone,bank_marketing
0,1.138767159880826,0.6841416185361764,0.5289275148273893,1.0875770589689884,0.5634221767284409,0.34747970337135714
1,1.0945799780152745,0.6772183085965113,0.5138012161212417,1.068721223740234,0.5375787638712383,0.335640424118723
2,1.0568471516431166,0.6698189818998918,0.49707637532168103,1.0509690922531092,0.5132587985282941,0.3261530077414255
3,1.0236052384323426,0.6644490405590421,0.4822378637453516,1.0341364589920257,0.4914397509119225,0.31734001267230527
4,0.9975045381549033,0.6592519043204372,0.47142108579761405,1.019569757191567,0.4713283183951556,0.31032784841027816
5,0.9748254461634088,0.6553684466639567,0.4592598061308864,1.005922394182644,0.45334583474890616,0.3035544054550789
6,0.952956293241851,0.6498364168396414,0.4488343364437181,0.9926349114729638,0.43675600740913517,0.2977599511463716
7,0.9299118062327003,0.6448717409831295,0.43849837533044334,0.9807441779757398,0.4213961499866645,0.2956874577465949
8,0.9087595476717064,0.6402181143179528,0.4292606900393969,0.9687566198259565,0.4072819195886258,0.28990364358130644
9,0.8920750649918886,0.6356466837664273,0.42147245152004664,0.9576938851431903,0.3942502369141902,0.28495738523833375
10,0.8733863961421383,0.6314271100256772,0.4145165092412568,0.94718299180691,0.3818845238430765,0.2809482333483612
11,0.858767100851151,0.6282946416381547,0.40796882744845353,0.9368838881808494,0.37068731267011934,0.2770461967353152
12,0.8448649093643494,0.6254317781333715,0.40222030009531734,0.9278211928043194,0.3600809875730641,0.27318441402898297
13,0.8296904750035281,0.6225359843738951,0.3955622038113106,0.9191131160164147,0.35064938304008453,0.27061854106711164
14,0.8173347392707011,0.6196969419231468,0.3903403257050611,0.9108470740471768,0.34137462232987537,0.2670873369151125
15,0.8036706620817075,0.6168694539285327,0.3850830273845933,0.9027464404962893,0.33263786595773154,0.2657603133314514
16,0.7922572985230057,0.6141356344112993,0.37965689660223007,0.8953390149541447,0.3242752497389724,0.2626118161786114
17,0.7798251637410466,0.6122614966795676,0.3743151626960076,0.888441668314073,0.3166479335264576,0.26085372925559386
18,0.7685362619407251,0.6098328441290269,0.3697713814970964,0.8816770639922531,0.3095114453306652,0.25807050491304084
19,0.758073073472915,0.6079592605555988,0.36591807084286004,0.8755659167322535,0.3027887736912835,0.256915834843272
20,0.7491628049236607,0.6060698632300964,0.36224980318127736,0.8695210653710396,0.296507744048757,0.2546419012930315
21,0.7403984289493979,0.6034070436836566,0.35824555586094936,0.8636173175291608,0.2907724533634918,0.2523069274087046
22,0.7305270073057933,0.6011862885809139,0.35455252563151674,0.858496895534975,0.2851698882842024,0.2500734536786114
23,0.7214507199898552,0.5990031858196616,0.3509721866119468,0.8532219248568399,0.2799733293279665,0.24820574698573217
24,0.7142837818649771,0.5968646711070036,0.3475417049790627,0.8479267787298402,0.2750071291812301,0.24629205831254555
25,0.7064531485342935,0.5947341469623251,0.3443028427258535,0.8430874276895797,0.2702900791840836,0.24521136987696085
26,0.6995673532653045,0.5931242540744662,0.34142921191467357,0.8388201845671345,0.26588631294387316,0.24358162282455564
27,0.6941008000286673,0.5916347861844687,0.33842452064313644,0.8346649388702989,0.26157733974660763,0.24190866761094937
28,0.6865871947974224,0.5898483457475946,0.3360967213395296,0.8303280084908824,0.2570554136938346,0.24109193766049866
29,0.6794600135413783,0.5882156880510698,0.3340919109526402,0.8266352981394808,0.2530286396209795,0.24007180666448624
30,0.6738636783246497,0.5869698259901599,0.3316198387867274,0.8227989304150768,0.24914161887064123,0.23864964063645042
31,0.6692275423740742,0.5853389688561852,0.32955922336965016,0.8193256195710013,0.24585238581711832,0.2372768413933369
32,0.6641565688812887,0.5840766138002497,0.32752331072091445,0.8158474759939301,0.24231624433554746,0.23604601393570668
33,0.6578844597518634,0.5828079494072551,0.32567367853617973,0.8124336314345856,0.23919694877870812,0.23490223503142948
34,0.6518439410359944,0.5815495152222083,0.323772084125798,0.8092050309635928,0.23620639939678997,0.23375379293230134
35,0.6463688770760875,0.5804174971547831,0.32194426853378666,0.805873382989845,0.23315502111766181,0.23233055366370237
36,0.6418790791552414,0.5793706106150229,0.3203878588112652,0.8030287453510686,0.23032674846428675,0.23131084304278626
37,0.6376722866545182,0.5782228083790018,0.3186720172472413,0.800300513558842,0.22778574428509818,0.23027627234741918
38,0.6333822500481515,0.5772305036437627,0.31716413541710026,0.7975368811993333,0.2254815027309629,0.2293305060433136
39,0.6282716590240519,0.5762174993951001,0.3157943722822763,0.794887755886312,0.22314006111530937,0.2284828984019692
40,0.6249230465773525,0.5750701243132885,0.3146797834393806,0.7921645253996369,0.22068248610481422,0.2275445433062657
41,0.6202720358972782,0.5741589022242768,0.31328026139558623,0.7894379045237475,0.21847517349432277,0.22669065343699077
42,0.6156294566249354,0.5734306331121727,0.3121200007849736,0.7871647669173585,0.21639234699904333,0.22616148535724526
43,0.6118588989010134,0.5723880019154797,0.31100525818547803,0.7850271246781447,0.21421398781748377,0.22519548556607874
44,0.6082431177039623,0.5714512139342227,0.30994752290852084,0.782824340623379,0.21215041879975102,0.224444489232989
45,0.603897469931641,0.5704574421511689,0.3088082730595077,0.7810035174315585,0.21019955433778242,0.22371033979694124
46,0.6004589725011252,0.5693842639041944,0.30782600239411945,0.7790941166778625,0.20850489525178062,0.2230694936410237
47,0.5972469373487233,0.5685651649889564,0.30693335919750114,0.7772497660166514,0.206708262793696,0.22265129391527058
48,0.5935209201291524,0.5676922679441367,0.30602829832015854,0.7753572194358943,0.20514420034749886,0.22193066885017818
49,0.5904094155352038,0.5672033402553965,0.3051606291141035,0.7735678612974115,0.20366933475818236,0.2214221887183988
50,0.5869034896713515,0.5664742122995555,0.3043932549787762,0.7717891019339305,0.20212080971811983,0.22099254040211688
51,0.5836483485107485,0.5657921875821791,0.3036160992676016,0.7700956779396833,0.20049374508799814,0.2205713113016427
52,0.5803043417196648,0.5650242125147205,0.3027408326925379,0.7686092952396355,0.19932152790074387,0.22019128510612102
53,0.5777724837725152,0.5644818154499429,0.301943698198584,0.7670138094349765,0.19784071028552788,0.21975839534175237
