dataset,obs_depth,target_round,argmin_round,post_min_target,method,selected_method,is_cascade,is_trivial,prediction,true_val,error,current_err,ref_error,skill,skill_vs_assumed,win_vs_assumed,skill_vs_last,win_vs_last,skill_vs_wmean,win_vs_wmean,skill_vs_wmin,win_vs_wmin,perturb_iqr,L_hat,assumed_mode,nearest_regime
covertype,30,300,500,0,richardson_1,richardson_1,0,0,0.49951159941626466,0.4083646501671605,0.09114694924910416,0.2710953633742178,0.2710953633742178,0.3362172931127769,0.22319990041203114,1,0.3362172931127769,1,0.21086969338203515,1,0.3362172931127769,1,0.005396591991827349,0.0,zero,rational_decay
covertype,30,300,500,0,rational_fit,richardson_1,0,0,0.4329731226062219,0.4083646501671605,0.02460847243906139,0.2710953633742178,0.2710953633742178,0.09077422842194485,0.060261025113187754,1,0.09077422842194485,1,0.056932032071014604,1,0.09077422842194485,1,0.005396591991827349,0.0,zero,rational_decay
covertype,30,300,500,0,constant_assumed,richardson_1,0,1,0.0,0.4083646501671605,0.4083646501671605,0.2710953633742178,0.2710953633742178,1.5063505516450213,1.0,0,1.5063505516450213,0,0.9447571123139652,1,1.5063505516450213,0,0.005396591991827349,0.0,zero,rational_decay
covertype,30,300,500,0,last_value,richardson_1,0,1,0.6794600135413783,0.4083646501671605,0.2710953633742178,0.2710953633742178,0.2710953633742178,1.0,0.6638560983749384,1,1.0,0,0.6271827704927224,1,1.0,0,0.005396591991827349,0.0,zero,rational_decay
covertype,30,300,500,0,window_mean,richardson_1,0,1,0.8406076519340011,0.4083646501671605,0.4322430017668406,0.2710953633742178,0.2710953633742178,1.5944315549586732,1.0584731112007508,0,1.5944315549586732,0,1.0,0,1.5944315549586732,0,0.005396591991827349,0.0,zero,rational_decay
covertype,30,300,500,0,window_min,richardson_1,0,1,0.6794600135413783,0.4083646501671605,0.2710953633742178,0.2710953633742178,0.2710953633742178,1.0,0.6638560983749384,1,1.0,0,0.6271827704927224,1,1.0,0,0.005396591991827349,0.0,zero,rational_decay
covertype,30,300,500,0,cascade,richardson_1,1,0,0.49951159941626466,0.4083646501671605,0.09114694924910416,0.2710953633742178,0.2710953633742178,0.3362172931127769,0.22319990041203114,1,0.3362172931127769,1,0.21086969338203515,1,0.3362172931127769,1,0.005396591991827349,0.0,zero,rational_decay
covertype,30,400,500,0,richardson_1,richardson_1,0,0,0.47716241215674166,0.3748681323241892,0.10229427983255246,0.3045918812171891,0.3045918812171891,0.3358404676571519,0.27288070393801167,1,0.3358404676571519,1,0.21963839340550861,1,0.3358404676571519,1,0.005574015351366257,0.0,zero,rational_decay
covertype,30,400,500,0,rational_fit,richardson_1,0,0,0.42246785251917673,0.3748681323241892,0.04759972019498754,0.3045918812171891,0.3045918812171891,0.15627376542267907,0.12697723836877894,1,0.15627376542267907,1,0.10220245049178071,1,0.15627376542267907,1,0.005574015351366257,0.0,zero,rational_decay
covertype,30,400,500,0,constant_assumed,richardson_1,0,1,0.0,0.3748681323241892,0.3748681323241892,0.3045918812171891,0.3045918812171891,1.2307226667571276,1.0,0,1.2307226667571276,0,0.804887961060824,1,1.2307226667571276,0,0.005574015351366257,0.0,zero,rational_decay
