dataset,n_rounds,argmin_round,min_value,value_at_round,at_round,rise_from_min
covertype,500,500,0.3491575180685675,0.3491575180685675,500,0.0
higgs,500,500,0.5300865883045046,0.5300865883045046,500,0.0
adult,500,337,0.2717236648338406,0.2729784847967337,500,0.004618000289597304
jannis,500,500,0.6895512489191259,0.6895512489191259,500,0.0
miniboone,500,500,0.1371171131773968,0.1371171131773968,500,0.0
bank_marketing,500,257,0.1985333165783484,0.201157308677899,500,0.013216885431494112
