regime,is_holdout,obs_idx,target_g,method,n_f,achieved_g,med_error,med_skill,n
log_slow,0,30,0.1,current_value,50000.0,0.32236487497446525,0.1554238412125219,1.4783022631896885,60
log_slow,0,30,0.1,linear,50000.0,0.32236487497446525,,,60
log_slow,0,30,0.1,log_linear,50000.0,0.32236487497446525,0.0679286536639653,0.6728028267218067,60
log_slow,0,30,0.1,geom_avg_diff,50000.0,0.32236487497446525,0.12039989394219133,1.1976714070417305,60
log_slow,0,30,0.1,richardson_1,50000.0,0.32236487497446525,0.06727667615812236,0.6568761463388988,60
log_slow,0,30,0.1,richardson_2,50000.0,0.32236487497446525,0.04704746679061416,0.3939405027524739,60
log_slow,0,30,0.1,richardson_3,50000.0,0.32236487497446525,0.05116902155460983,0.5147449423669754,60
log_slow,0,30,0.1,richardson_a05,50000.0,0.32236487497446525,0.07642841390952029,0.7486032473772386,60
log_slow,0,30,0.1,richardson_a10,50000.0,0.32236487497446525,0.1767377979281613,1.7433347608348657,60
log_slow,0,30,0.1,richardson_a20,50000.0,0.32236487497446525,0.21462615664583812,2.1005313874037967,60
log_slow,0,30,0.1,single_exp_fit,50000.0,0.32236487497446525,0.1679160268279371,1.6458377469770624,60
log_slow,0,30,0.1,double_exp_fit,50000.0,0.32236487497446525,0.13917543916938058,1.1592945129857894,60
log_slow,0,30,0.1,rational_fit,50000.0,0.32236487497446525,0.10790454405940116,1.050578223610775,60
log_slow,0,30,0.1,log_fit,50000.0,0.32236487497446525,0.0018907270341615781,0.014429800082606921,60
log_slow,0,30,0.1,shanks_1,50000.0,0.32236487497446525,0.15193666227220903,1.2660127093206894,60
log_slow,0,30,0.1,shanks_2,50000.0,0.32236487497446525,0.15131945414885722,1.120864563299929,60
log_slow,0,30,0.1,shanks_3,50000.0,0.32236487497446525,0.14937053914793824,1.0792879745477473,60
log_slow,0,30,0.1,shanks_4,50000.0,0.32236487497446525,0.16330911477626311,1.2440466675994024,60
log_slow,0,30,0.1,wynn_eps_1,50000.0,0.32236487497446525,0.15193666227220887,1.2660127093204774,60
log_slow,0,30,0.1,wynn_eps_2,50000.0,0.32236487497446525,0.15038638626302006,1.188096942283815,60
