method,obs_idx,noise,valid_rate,n,is_trivial,is_oracle,is_dangerous
current_value,90,0.02,1.0,1440,0,0,0
current_value,120,0.0,1.0,1440,0,0,0
current_value,120,0.005,1.0,1440,0,0,0
current_value,120,0.02,1.0,1440,0,0,0
double_exp_fit,30,0.0,1.0,1440,0,0,0
double_exp_fit,30,0.005,1.0,1440,0,0,0
double_exp_fit,30,0.02,1.0,1440,0,0,0
double_exp_fit,60,0.0,1.0,1440,0,0,0
double_exp_fit,60,0.005,1.0,1440,0,0,0
double_exp_fit,60,0.02,1.0,1440,0,0,0
double_exp_fit,90,0.0,0.9792,1440,0,0,0
double_exp_fit,90,0.005,0.9875,1440,0,0,0
double_exp_fit,90,0.02,0.9979,1440,0,0,0
double_exp_fit,120,0.0,0.95,1440,0,0,0
double_exp_fit,120,0.005,0.9688,1440,0,0,0
double_exp_fit,120,0.02,0.9458,1440,0,0,0
geom_avg_diff,30,0.0,0.7833,1440,0,0,1
geom_avg_diff,30,0.005,0.4903,1440,0,0,1
geom_avg_diff,30,0.02,0.4882,1440,0,0,1
geom_avg_diff,60,0.0,0.7917,1440,0,0,1
geom_avg_diff,60,0.005,0.5007,1440,0,0,1
geom_avg_diff,60,0.02,0.5,1440,0,0,1
geom_avg_diff,90,0.0,0.8646,1440,0,0,1
geom_avg_diff,90,0.005,0.4778,1440,0,0,1
geom_avg_diff,90,0.02,0.4715,1440,0,0,1
geom_avg_diff,120,0.0,0.8646,1440,0,0,1
geom_avg_diff,120,0.005,0.4861,1440,0,0,1
geom_avg_diff,120,0.02,0.5021,1440,0,0,1
last_value,30,0.0,1.0,1440,1,0,0
last_value,30,0.005,1.0,1440,1,0,0
last_value,30,0.02,1.0,1440,1,0,0
last_value,60,0.0,1.0,1440,1,0,0
last_value,60,0.005,1.0,1440,1,0,0
last_value,60,0.02,1.0,1440,1,0,0
last_value,90,0.0,1.0,1440,1,0,0
last_value,90,0.005,1.0,1440,1,0,0
last_value,90,0.02,1.0,1440,1,0,0
last_value,120,0.0,1.0,1440,1,0,0
last_value,120,0.005,1.0,1440,1,0,0
last_value,120,0.02,1.0,1440,1,0,0
levin_t1,30,0.0,0.9583,1440,0,0,0
levin_t1,30,0.005,1.0,1440,0,0,0
levin_t1,30,0.02,0.9958,1440,0,0,0
