noise,target_g,selector,is_trivial,is_oracle,mean_error,median_error,med_skill,n
0.005,0.02,diag_ensemble_51,0,0,0.103633,0.076731,2.384,1180
0.005,0.02,diag_ensemble_safe,0,0,0.100255,0.076398,2.2093,1180
0.005,0.02,equal_ensemble_51,0,0,0.146412,0.12969,2.3984,1180
0.005,0.02,equal_ensemble_safe,0,0,0.146046,0.129385,2.4027,1180
0.005,0.02,diag_ensemble_9,0,0,0.076128,0.051314,1.8837,1180
0.005,0.02,equal_ensemble_9,0,0,0.077764,0.043082,1.1772,1180
0.005,0.02,phase2_cascade,0,0,0.068271,0.039137,1.0186,1180
0.005,0.02,fixed_rational,0,0,0.05488,0.035263,1.1048,1180
0.005,0.02,fixed_richardson,0,0,0.07469,0.039645,1.0648,1180
0.005,0.02,current_value,0,0,0.146013,0.132031,2.5238,1180
0.005,0.02,constant_assumed,1,0,0.110434,0.049623,1.0,1180
0.005,0.02,constant_oracle,1,1,0.0025,0.002248,0.035,1180
0.005,0.02,window_mean,1,0,0.219186,0.19469,4.119,1180
0.005,0.02,window_min,1,0,0.142923,0.126951,2.5486,1180
0.005,0.02,last_value,1,0,0.146013,0.132031,2.5238,1180
0.005,0.1,oracle_51,0,0,0.008696,0.004015,0.1087,1260
0.005,0.1,oracle_9,0,0,0.019755,0.009115,0.3373,1260
0.005,0.1,threshold_ens_010,0,0,0.130949,0.114982,1.9901,1260
0.005,0.1,threshold_ens_050,0,0,0.130786,0.114222,1.9951,1260
0.005,0.1,threshold_ens_safe,0,0,0.13079,0.113936,1.9951,1260
0.005,0.1,capped_diag_51,0,0,0.095572,0.066575,1.9207,1260
0.005,0.1,capped_diag_safe,0,0,0.092356,0.068394,1.8133,1260
0.005,0.1,diag_ensemble_51,0,0,0.095572,0.066575,1.9207,1260
0.005,0.1,diag_ensemble_safe,0,0,0.092356,0.068394,1.8133,1260
0.005,0.1,equal_ensemble_51,0,0,0.131028,0.114657,1.993,1260
0.005,0.1,equal_ensemble_safe,0,0,0.13079,0.113936,1.9951,1260
0.005,0.1,diag_ensemble_9,0,0,0.070522,0.04805,1.5407,1260
0.005,0.1,equal_ensemble_9,0,0,0.074038,0.039678,1.0301,1260
0.005,0.1,phase2_cascade,0,0,0.067204,0.038241,0.9673,1260
0.005,0.1,fixed_rational,0,0,0.052034,0.032444,0.9266,1260
0.005,0.1,fixed_richardson,0,0,0.083492,0.038116,0.9841,1260
0.005,0.1,current_value,0,0,0.132728,0.118898,2.1435,1260
0.005,0.1,constant_assumed,1,0,0.121328,0.061672,1.0,1260
0.005,0.1,constant_oracle,1,1,0.013494,0.012386,0.1958,1260
0.005,0.1,window_mean,1,0,0.199524,0.167194,3.6972,1260
0.005,0.1,window_min,1,0,0.125609,0.106143,1.8529,1260
0.005,0.1,last_value,1,0,0.132728,0.118898,2.1435,1260
0.005,0.5,oracle_51,0,0,0.007479,0.002208,0.0583,1440
0.005,0.5,oracle_9,0,0,0.020122,0.006839,0.2297,1440
0.005,0.5,threshold_ens_010,0,0,0.078278,0.069112,1.073,1440
0.005,0.5,threshold_ens_050,0,0,0.078258,0.069313,1.0721,1440
0.005,0.5,threshold_ens_safe,0,0,0.078244,0.069313,1.0709,1440
0.005,0.5,capped_diag_51,0,0,0.056309,0.033623,0.6784,1440
0.005,0.5,capped_diag_safe,0,0,0.057939,0.037339,0.7157,1440
0.005,0.5,diag_ensemble_51,0,0,0.056309,0.033623,0.6784,1440
