method,mean_piqr,med_piqr,mean_err,med_skill,is_dangerous,target_g
weniger_d1,2.5625645673063776e-16,0.0,0.12234713312156476,1.000000000000029,0,0.1
weniger_d2,7.218170552009305e-16,1.4440738574936573e-18,0.12356423709327978,1.0000000000009548,0,0.1
richardson_a20,0.0012932919824076871,0.0009583331818972737,0.17013167806473148,2.622895708979443,0,0.1
richardson_a10,0.0018096955996043278,0.0012643298266330205,0.14143744519661622,2.090372656468603,0,0.1
log_fit,0.0018215764557139782,0.00059485236340448,0.1058382657460919,1.8205294141859634,0,0.1
richardson_a05,0.002870089105032718,0.0020624342965853415,0.10236701148557246,1.2543569410504034,0,0.1
anderson_3,0.003962519592673556,0.0027570419029047666,0.12510551944865603,2.1589514974626898,0,0.1
anderson_2,0.004227001535232005,0.00296292099258548,0.12613914767958925,2.189016924655765,0,0.1
current_value,0.004962416581975975,0.0035433620727943343,0.13267695349036057,2.283731542772083,0,0.1
richardson_1,0.005522532149893828,0.0016109464703270848,0.08298262675853663,1.002652189958627,0,0.1
median_ensemble,0.0071598260077828605,0.0038040971333603985,0.10442385839157425,1.5324263500057689,0,0.1
levin_v1,0.0076289028940602225,0.00368942589027646,0.12613978961330963,1.9483579641682534,0,0.1
anderson_1,0.007636174854780796,0.003808669042082269,0.12936090309985482,2.270784403555822,0,0.1
shanks_4,0.007772150172634774,0.004223711096620841,0.11730935119221747,1.857212656267612,0,0.1
levin_v2,0.007894310457617218,0.0038869046833075738,0.12846914130513148,1.9070776755245065,0,0.1
wynn_eps_2,0.007959644983349634,0.0033394553183774267,0.13019325362844486,1.7935448790101538,0,0.1
richardson_2,0.008186577956069644,0.0022145406674565146,0.07019583856534672,0.8369284495299649,0,0.1
wynn_eps_1,0.008648800617741096,0.0036910858254548262,0.11712047513569734,1.9336182502556767,0,0.1
best_shanks_wynn,0.008919620860721244,0.003984269242688604,0.12179730365642862,1.9773496667541808,0,0.1
levin_t1,0.00901454536822121,0.003780999996706169,0.11712047513569734,1.933618250255677,0,0.1
shanks_2,0.00907238184275066,0.0042774931785986015,0.3913721858548501,1.8616255924798428,0,0.1
shanks_1,0.009462531076595433,0.0037696101894809098,0.12175401930668357,1.9763149769764825,0,0.1
levin_u1,0.00977703976672118,0.003779964107069267,0.2696397563723144,2.2884655232132443,0,0.1
rational_fit,0.009905989521130478,0.0024768931231737602,0.05312740781630313,0.9999999939004804,0,0.1
levin_t2,0.010548634735543438,0.004147541093618978,0.11503473026799103,1.8350554534435066,0,0.1
wynn_eps_3,0.011218032649281819,0.0037233262639168874,0.12131243551277573,1.701152297038316,0,0.1
single_exp_fit,0.011426453820193598,0.0033858040576102144,0.08720674823205492,1.2630803196480027,0,0.1
levin_u2,0.013732077309626393,0.004110245566333021,0.13041653815388995,1.92442156098897,0,0.1
brezinski_theta1,0.01397796945672644,0.007420653353366072,0.118158250778916,2.1196573589244427,0,0.1
wynn_rho_1,0.014950428501817223,0.004931975982874523,0.122595113840486,1.9558190834935978,0,0.1
pade_23,0.014952427289337506,0.001888775049530167,0.07793428153400797,0.9375951970258681,0,0.1
richardson_3,0.016695023930304195,0.0026847774902807875,0.06977772698480603,0.9708512055706828,0,0.1
wynn_rho_2,0.018457798786726026,0.006626383845121167,0.14502771823316257,2.1764277803409504,0,0.1
stability_weighted,0.02007172551129407,0.008486905386013044,0.16760886251240686,1.7850376366596201,0,0.1
wynn_rho_3,0.02505811760862673,0.007798968937474907,0.1253993600262181,2.103785312246589,0,0.1
pade_12,0.02909737915486011,0.0011495200282932438,0.08581815902773185,0.9597966312969781,0,0.1
double_exp_fit,0.03130964492594565,0.004839557823302032,0.0697575787820993,0.999999985173573,0,0.1
shanks_3,0.036029632801513264,0.0043495316652520846,0.1257612757380239,1.8944156925264095,0,0.1
brezinski_theta2,0.039557348465129365,0.017480419031226713,0.14260954674219686,2.2745466521838296,0,0.1
linear,0.05115714033730043,0.0032303287160876937,3.708825361436092,7.517332027714135,1,0.1
log_linear,0.051753830834387775,0.0013836930167085149,0.6864481667971316,0.893884529805651,0,0.1
pade_13,0.12184905342202072,0.0017492522100451078,0.1625045338026886,1.2289861997972826,0,0.1
geom_avg_diff,0.1295441323813288,0.03361779780310484,0.18981404503851398,1.975728470429142,1,0.1
pade_11,0.19675863950475805,0.009307513088004796,0.23652583187650086,2.245275528516201,0,0.1
pade_22,0.22963948282295146,0.011936423588890105,0.24547339518437028,1.9878745687581407,0,0.1
pade_21,2.747805617789633,0.028792639979003873,3.4638896042601734,7.241370001868873,1,0.1
pade_32,3.56964178070942,0.0859860332350261,5.611169966410253,7.043128544023285,1,0.1
pade_31,8.583452781073165,0.6158194984907768,38.21668037063453,48.84147776680705,1,0.1
neville_2,13.314751248220613,5.7954152650685415,25.949555937466638,34.56936997022612,1,0.1
neville_3,54.021255728428166,37.64187212966328,50.55175254538205,4.8896013708230175,1,0.1
neville_4,76.44968970785646,54.8111022362223,38.820332926553355,0.5272765399004401,1,0.1
